"","X","name","full_team","team","year","games_in_season","num_games_missing","num_games_injured","injury_types","earliest_injury","latest_injury","position_id","NFL_draft_year","NFL_draft_round","NFL_draft_rank","height_inches","weight_pounds","birthdate","forty_yd","three_cone","bench","broad_jump","combine_height","combine_weight","shuttle","vertical","game_starter","head","shoulder","upper_torso","lower_torso","arm","hand","leg","foot"
"39",518,"Kurt Warner","Arizona Cardinals","crd",2009,18,1,4,"shoulder head",3,12,"QB",NA,NA,NA,74,214,"1971-06-22",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,0
"40",536,"Beanie Wells","Arizona Cardinals","crd",2009,18,0,2,"hip groin",6,16,"RB",2009,1,31,73,235,"1988-08-07",4.38,0,25,128,73,235,0,33.5,0,0,0,0,1,0,0,1,0
"41",554,"Reggie Wells","Arizona Cardinals","crd",2009,18,0,9,"thumb",2,10,"OL",2003,6,177,76,318,"1980-11-03",5.16,8.35,23,104,75,300,4.56,29,1,0,0,0,0,0,1,0,0
"42",572,"Adrian Wilson","Arizona Cardinals","crd",2009,18,0,1,"groin",10,10,"DEF",2001,3,64,75,230,"1979-10-12",NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,1,0
"43",590,"Jason Wright","Arizona Cardinals","crd",2009,18,0,3,"back thumb illness",5,13,"RB",NA,NA,NA,70,212,"1982-07-12",4.68,7.35,0,111,70,210,4.12,30,0,0,0,1,0,0,1,0,0
"44",606,"John Abraham","Atlanta Falcons","atl",2009,16,0,3,"knee  foot",1,8,"DEF",2000,1,13,76,263,"1978-05-06",4.55,0,0,0,76,252,0,0,1,0,0,0,0,0,0,1,1
"45",619,"Jamaal Anderson","Atlanta Falcons","atl",2009,16,3,3,"chest",14,16,"DEF",2007,1,8,77,288,"1986-02-06",4.75,0,0,0,77,288,0,0,1,0,0,1,0,0,0,0,0
"46",635,"Jonathan Babineaux","Atlanta Falcons","atl",2009,16,0,6,"ankle shoulder",7,16,"DEF",2005,2,59,74,300,"1981-10-12",4.87,7.7,21,109,74,286,4.57,29.5,1,0,1,0,0,0,0,0,1
"47",649,"Sam Baker","Atlanta Falcons","atl",2009,16,2,10,"ankle elbow elbow hamstring",7,16,"OL",2008,1,21,77,308,"1985-05-30",5.5,0,28,0,77,309,0,0,1,0,0,0,0,2,0,1,1
"48",665,"Kroy Biermann","Atlanta Falcons","atl",2009,16,0,2,"neck",7,9,"DEF",2008,5,154,75,242,"1985-09-12",4.85,7.08,29,112,75,246,4.56,31.5,0,1,0,0,0,0,0,0,0
"49",681,"Marty Booker","Atlanta Falcons","atl",2009,16,0,1,"abdomen",5,5,"WR",1999,3,78,72,205,"1976-07-31",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0
"50",686,"Matt Bryant","Atlanta Falcons","atl",2009,16,0,1,"hamstring",16,16,"K",NA,NA,NA,69,203,"1975-05-29",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0
"51",702,"Tyson Clabo","Atlanta Falcons","atl",2009,16,0,1,"knee",11,11,"OL",NA,NA,NA,78,315,"1981-10-17",5.51,8.09,24,100,79,315,4.88,30,1,0,0,0,0,0,0,1,0
"52",718,"Erik Coleman","Atlanta Falcons","atl",2009,16,0,2,"knee",10,11,"DEF",2004,5,143,70,207,"1982-05-06",4.64,7.03,16,117,70,200,4.14,35.5,1,0,0,0,0,0,0,1,0
"53",729,"Harvey Dahl","Atlanta Falcons","atl",2009,16,5,5,"ankle ankle achilles",12,16,"OL",NA,NA,NA,77,308,"1981-06-24",5.42,8.15,17,99,78,299,4.58,27,1,0,0,0,0,0,0,0,3
"54",745,"Chauncey Davis","Atlanta Falcons","atl",2009,16,0,1,"foot",1,1,"DEF",2005,4,128,74,262,"1983-01-27",4.8,7.66,22,118,74,273,4.44,37,1,0,0,0,0,0,0,0,1
"55",746,"Harry Douglas","Atlanta Falcons","atl",2009,16,16,16,"knee",1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0
"56",757,"Jason Elam","Atlanta Falcons","atl",2009,16,0,4,"hamstring",2,5,"K",1993,3,70,71,194,"1970-03-08",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0
"57",767,"Brian Finneran","Atlanta Falcons","atl",2009,16,6,8,"ankle knee",8,16,"WR",NA,NA,NA,77,210,"1976-01-31",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1
"58",779,"Tony Gilbert","Atlanta Falcons","atl",2009,16,4,7,"hamstring  knee",1,16,"DEF",2003,6,210,72,245,"1979-10-16",4.86,0,19,109,72,251,0,27.5,0,0,0,0,0,0,0,2,0
"59",795,"Tony Gonzalez","Atlanta Falcons","atl",2009,16,0,2,"back calf",3,16,"TE",1997,1,13,77,247,"1976-02-27",NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,1,0
"60",805,"Antoine Harris","Atlanta Falcons","atl",2009,16,6,7,"knee",4,16,"DEF",NA,NA,NA,70,205,"1982-04-08",4.93,0,11,0,75,260,0,0,0,0,0,0,0,0,0,1,0
"61",817,"Chris Houston","Atlanta Falcons","atl",2009,16,4,4,"hamstring",13,16,"DEF",2007,2,41,70,185,"1984-10-18",4.32,6.94,27,122,70,185,4.12,36,1,0,0,0,0,0,0,1,0
"62",832,"Michael Jenkins","Atlanta Falcons","atl",2009,16,1,3,"ankle",12,14,"WR",2004,1,29,76,214,"1982-06-18",4.4,0,0,0,76,218,0,0,1,0,0,0,0,0,0,0,1
"63",834,"Peria Jerry","Atlanta Falcons","atl",2009,16,14,15,"chest knee",2,16,"DEF",2009,1,24,73,290,"1984-08-23",4.98,0,0,0,74,299,0,0,1,0,0,1,0,0,0,1,0
"64",847,"Thomas Johnson","Atlanta Falcons","atl",2009,16,3,4,"calf knee",7,16,"DEF",NA,NA,NA,74,304,"1981-06-24",NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,2,0
"65",863,"Michael Koenen","Atlanta Falcons","atl",2009,16,0,1,"head",16,16,"P",NA,NA,NA,71,198,"1982-07-13",NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0
"66",879,"Curtis Lofton","Atlanta Falcons","atl",2009,16,0,6,"knee ankle knee knee groin shoulder hamstring",8,16,"DEF",2008,2,37,74,238,"1986-06-02",4.79,7.69,23,105,72,246,4.56,24.5,1,0,1,0,0,0,0,5,1
"67",895,"Todd McClure","Atlanta Falcons","atl",2009,16,0,3,"calf  knee",1,14,"OL",1999,7,237,73,296,"1977-02-16",NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,2,0
"68",897,"William Moore","Atlanta Falcons","atl",2009,16,14,14,"hamstring",1,16,"DEF",2009,2,55,72,223,"1985-05-18",4.49,6.81,16,123,72,221,4.26,37,0,0,0,0,0,0,0,1,0
"69",911,"Ovie Mughelli","Atlanta Falcons","atl",2009,16,2,4,"hamstring calf",4,7,"RB",2003,4,134,73,250,"1980-06-10",4.73,7.78,0,114,73,255,4.32,31.5,0,0,0,0,0,0,0,2,0
"70",921,"Jerious Norwood","Atlanta Falcons","atl",2009,16,6,8,"knee  head hip",1,11,"RB",2006,3,79,71,209,"1983-07-29",4.4,6.81,15,122,72,210,4.25,36.5,1,1,0,0,1,0,0,1,0
"71",937,"Chris Owens","Atlanta Falcons","atl",2009,16,0,3,"shoulder ankle",7,16,"DEF",2009,3,90,70,182,"1986-12-01",4.44,6.93,14,110,70,181,4.16,34.5,1,0,1,0,0,0,0,0,1
"72",952,"Justin Peelle","Atlanta Falcons","atl",2009,16,1,4,"back ankle concussion head",3,14,"TE",2002,4,103,76,251,"1979-03-15",4.75,7.34,21,110,76,255,4.29,29,1,2,0,1,0,0,0,0,1
"73",954,"Charlie Peprah","Atlanta Falcons","atl",2009,16,2,2,"hamstring",15,16,"DEF",2006,5,158,71,203,"1983-02-24",4.66,6.81,15,119,71,206,4.09,37.5,0,0,0,0,0,0,0,1,0
"74",968,"Matt Ryan","Atlanta Falcons","atl",2009,16,2,5,"toe",12,16,"QB",2008,1,3,76,217,"1985-05-17",4.89,7.4,NA,NA,77,228,4.51,NA,1,0,0,0,0,0,0,0,1
"75",975,"Mike Schneck","Atlanta Falcons","atl",2009,16,1,3,"knee  back ribs",1,8,"OL",NA,NA,NA,73,234,"1977-08-04",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,0,0,0,1,0
"76",989,"Jason Snelling","Atlanta Falcons","atl",2009,16,2,3,"hamstring",7,9,"RB",2007,7,244,71,235,"1983-12-29",4.79,7.06,0,111,71,230,4.37,30,0,0,0,0,0,0,0,1,0
"77",1002,"Will Svitek","Atlanta Falcons","atl",2009,16,0,2,"ankle",13,14,"OL",2005,6,187,78,305,"1982-01-08",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1
"78",1013,"Michael Turner","Atlanta Falcons","atl",2009,16,5,7,"chest ankle",6,16,"RB",2004,5,154,70,244,"1982-02-13",4.49,7.5,22,114,70,237,4.15,31,1,0,0,1,0,0,0,0,1
"79",1029,"Eric Weems","Atlanta Falcons","atl",2009,16,0,2,"ankle head",8,16,"WR",NA,NA,NA,69,195,"1985-07-04",NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,1
"80",1045,"Roddy White","Atlanta Falcons","atl",2009,16,0,7,"knee",8,14,"WR",2005,1,27,72,211,"1981-11-02",4.46,0,0,0,73,207,0,0,1,0,0,0,0,0,0,1,0
"81",1050,"Brian Williams","Atlanta Falcons","atl",2009,16,11,12,"eye knee",5,16,"DEF",2002,4,105,71,202,"1979-07-02",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,1,0
"82",1065,"Keith Zinger","Atlanta Falcons","atl",2009,16,0,1,"back",8,8,"TE",2008,7,232,76,250,"1984-10-09",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0
"83",1069,"Brendon Ayanbadejo","Baltimore Ravens","rav",2009,18,14,15,"foot  quadriceps",1,18,"DEF",NA,NA,NA,73,225,"1976-09-06",NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,1,1
"84",1087,"Justin Bannan","Baltimore Ravens","rav",2009,18,0,3,"knee illness",3,15,"DEF",2002,5,139,75,312,"1979-04-18",5,7.31,24,99,75,300,4.24,29,0,0,0,0,0,0,0,1,0
"85",1100,"Antwan Barnes","Baltimore Ravens","rav",2009,18,0,1,"shoulder",4,4,"DEF",2007,4,134,73,240,"1984-10-19",4.43,7.29,31,122,73,240,4.32,35,0,0,1,0,0,0,0,0,0
"86",1118,"Matt Birk","Baltimore Ravens","rav",2009,18,0,5,"neck",10,15,"OL",1998,6,173,76,310,"1976-07-23",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0
"87",1133,"Prescott Burgess","Baltimore Ravens","rav",2009,18,0,2,"illness thigh",8,12,"DEF",2007,6,207,75,246,"1984-03-06",4.82,7.01,19,106,75,240,4.31,32.5,0,0,0,0,0,0,0,1,0
"88",1151,"Chris Carr","Baltimore Ravens","rav",2009,18,0,2,"groin illness",5,9,"DEF",NA,NA,NA,70,182,"1983-04-30",NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,1,0
"89",1167,"Mark Clayton","Baltimore Ravens","rav",2009,18,2,4,"shoulder hamstring knee",6,15,"WR",2005,1,22,70,190,"1982-07-02",4.41,6.95,0,118,70,193,4.07,36.5,0,0,1,0,0,0,0,2,0
"90",1173,"Oniel Cousins","Baltimore Ravens","rav",2009,18,0,1,"knee",16,16,"OL",2008,3,99,76,315,"1984-06-29",5.11,7.9,23,107,76,308,4.8,24.5,0,0,0,0,0,0,0,1,0
"91",1182,"Billy Cundiff","Baltimore Ravens","rav",2009,18,0,1,"concussion",13,13,"K",NA,NA,NA,73,212,"1980-03-30",NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0
"92",1183,"Lamar Divens","Baltimore Ravens","rav",2009,18,18,18,"hip",1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0
"93",1198,"Dannell Ellerbe","Baltimore Ravens","rav",2009,18,2,3,"knee  illness",1,9,"DEF",NA,NA,NA,73,236,"1985-11-29",4.63,7,0,118,73,236,4.23,35,1,0,0,0,0,0,0,1,0
"94",1216,"Joe Flacco","Baltimore Ravens","rav",2009,18,0,5,"ankle knee knee hip hip",7,17,"QB",2008,1,18,78,245,"1985-01-16",4.84,6.82,NA,110,78,236,4.27,28.5,1,0,0,0,2,0,0,2,1
"95",1229,"Jared Gaither","Baltimore Ravens","rav",2009,18,5,11,"illness neck foot ankle",3,18,"OL",2007,5,1,81,350,"1986-03-18",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2
"96",1232,"K.J. Gerard","Baltimore Ravens","rav",2009,18,6,6,"thigh hamstring",12,18,"DEF",NA,NA,NA,73,187,"1986-04-22",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,2,0
"97",1246,"Tavares Gooden","Baltimore Ravens","rav",2009,18,4,10,"knee shoulder head shoulder head concussion groin",2,18,"DEF",2008,3,71,73,233,"1984-10-07",4.62,0,22,118,73,234,0,35,0,3,2,0,0,0,0,2,0
"98",1258,"David Hale","Baltimore Ravens","rav",2009,18,1,1,"head",13,13,"OL",2008,4,133,78,300,"1983-03-03",5.27,7.69,25,100,78,314,4.75,26,0,1,0,0,0,0,0,0,0
"99",1260,"Justin Harper","Baltimore Ravens","rav",2009,18,1,1,"foot",15,15,"WR",2008,7,215,75,205,"1985-02-24",4.56,7.03,0,120,75,213,4.43,28.5,0,0,0,0,0,0,0,0,1
"100",1276,"Stephen Hauschka","Baltimore Ravens","rav",2009,18,0,1,"ankle",7,7,"K",NA,NA,NA,76,210,"1985-06-29",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1
"101",1294,"Todd Heap","Baltimore Ravens","rav",2009,18,0,7,"back ankle chest",4,18,"TE",2001,1,31,77,252,"1980-03-16",4.68,0,0,0,77,252,0,0,1,0,0,2,0,0,0,0,1
"102",1312,"Jarret Johnson","Baltimore Ravens","rav",2009,18,0,15,"shoulder back knee back knee back knee",2,17,"DEF",2003,4,109,75,260,"1981-08-14",5.07,7.72,21,107,75,284,4.58,28.5,1,0,1,3,0,0,0,3,0
"103",1330,"Edgar Jones","Baltimore Ravens","rav",2009,18,0,2,"hamstring back",6,15,"DEF",NA,NA,NA,75,263,"1984-12-01",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,1,0
"104",1348,"Matt Katula","Baltimore Ravens","rav",2009,18,0,3,"elbow forearm",8,17,"OL",NA,NA,NA,78,265,"1982-08-22",NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,2,0,0,0
"105",1356,"Matt Lawrence","Baltimore Ravens","rav",2009,18,10,10,"knee",9,18,"RB",NA,NA,NA,73,210,"1985-05-05",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0
"106",1357,"Ray Lewis","Baltimore Ravens","rav",2009,18,0,4,"head foot",4,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,1
"107",1375,"Derrick Mason","Baltimore Ravens","rav",2009,18,0,6,"illness neck finger knee hand",4,18,"WR",1997,4,98,70,197,"1974-01-17",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,2,1,0
"108",1393,"Le'Ron McClain","Baltimore Ravens","rav",2009,18,0,2,"shoulder chest",8,12,"RB",2007,4,137,72,260,"1984-12-27",4.75,7.14,14,113,72,256,4.47,29.5,1,0,1,1,0,0,0,0,0
"109",1400,"Brandon McKinney","Baltimore Ravens","rav",2009,18,6,6,"back",13,18,"DEF",NA,NA,NA,74,345,"1983-08-24",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0
"110",1409,"Haruki Nakamura","Baltimore Ravens","rav",2009,18,9,11,"chest ankle",8,18,"DEF",2008,6,206,70,190,"1986-04-18",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,1
"111",1425,"Haloti Ngata","Baltimore Ravens","rav",2009,18,2,11,"knee  back ankle",1,17,"DEF",2006,1,12,76,340,"1984-01-21",5.13,7.95,37,110,76,338,4.65,31.5,1,0,0,1,0,0,0,1,1
"112",1427,"Marcus Paschal","Baltimore Ravens","rav",2009,18,1,1,"back",17,17,"DEF",NA,NA,NA,72,201,"1984-08-31",4.59,7.31,15,0,72,201,4.72,33,0,0,0,1,0,0,0,0,0
"113",1428,"Jason Phillips","Baltimore Ravens","rav",2009,18,18,18,"knee",1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0
"114",1446,"Trevor Pryce","Baltimore Ravens","rav",2009,18,0,3,"illness head",4,17,"DEF",1997,1,28,77,290,"1975-08-03",NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0
"115",1460,"Ed Reed","Baltimore Ravens","rav",2009,18,4,13,"concussion neck knee illness wrist foot ankle hip groin foot groin",2,18,"DEF",2002,1,24,71,205,"1978-09-11",4.57,0,0,0,71,201,0,0,1,2,0,0,1,0,1,3,3
"116",1478,"Ray Rice","Baltimore Ravens","rav",2009,18,0,1,"chest",14,14,"RB",2008,2,55,69,195,"1987-01-22",4.42,6.65,23,119,68,199,4.2,31.5,1,0,0,1,0,0,0,0,0
"117",1479,"Samari Rolle","Baltimore Ravens","rav",2009,18,18,18,"neck",1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0
"118",1493,"L.J. Smith","Baltimore Ravens","rav",2009,18,4,8,"hamstring  illness ankle",1,15,"TE",2003,2,61,75,258,"1980-05-13",4.62,6.74,26,122,75,258,4.25,37,0,0,0,0,0,0,0,1,1
"119",1494,"Marcus Smith","Baltimore Ravens","rav",2009,18,18,18,"knee",1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0
"120",1498,"Troy Smith","Baltimore Ravens","rav",2009,18,1,1,"illness",4,4,"QB",2007,5,174,72,225,"1984-07-20",4.72,0,0,0,72,225,0,0,0,0,0,0,0,0,0,0,0
"121",1513,"Terrell Suggs","Baltimore Ravens","rav",2009,18,3,7,"concussion knee thigh",2,16,"DEF",2003,1,10,75,265,"1982-10-11",4.84,NA,NA,NA,75,262,NA,NA,1,1,0,0,0,0,0,2,0
