"","name","position","height","weight","birthday","birthplace","college","Player_id","first_year","last_year"
"47","Hakeem Adeniji","OL","6-5",300,"1997-12-08","in Garland, TX","Kansas (College Stats)","AdenHa00",2020,2021
"48","Olasunkanmi Adeniyi","DE","6-1",248,"1997-09-12","in Houston, TX","Toledo (College Stats)","AdenOl00",2018,2021
"49","Aaron Adeoye","DE","6-6",250,"1993-08-26","in Marion, IL","SE Missouri St.","AdeoAa00",2020,2020
"50","Victor Adeyanju","DE","6-4",270,"1983-02-11","in Nigeria","Indiana (College Stats)","AdeyVi20",2006,2009
"51","Xavier Adibi","MLB","6-2",220,"1984-10-18","in Stillwater, OK","Virginia Tech (College Stats)","AdibXa99",2008,2012
"52","Jude Adjei-Barimah","CB","5-11",200,"1992-07-21","in Pordenone, Italy","Bowling Green (College Stats)","AdjeJu00",2015,2016
"53","Spencer Adkins","LB","5-11",246,"1987-05-16","in Naples, FL","Miami (FL) (College Stats)","AdkiSp99",2009,2011
"54","Daniel Adongo","LB","6-5",257,"1989-10-12","in Nairobi, Kenya","Pretoria","AdonDa00",2013,2015
"55","Al Afalava","DB","5-11",213,"1987-01-20","in Laie, HI","Oregon St. (College Stats)","AfalAl99",2009,2012
"56","Nelson Agholor","WR Throws: Right","6-0",198,"1993-05-24","in Lagos, Nigeria","USC (College Stats)","AghoNe00",2015,2021
"57","McTelvin Agim","DL","6-3",309,"1997-09-25","in Texarkana, TX","Arkansas (College Stats)","AgimMc00",2020,2021
"58","Jamal Agnew","WR/CB","5-10",190,"1995-04-03","in San Diego, CA","San Diego","AgneJa00",2017,2021
"59","Ray Agnew","FB","5-11",242,"1991-02-26","in Winston-Salem State, NC","Southern Illinois","AgneRa00",2014,2014
"60","Vince Agnew","CB","5-10",192,"1987-12-28","in Grand Rapids, MI","Central Michigan (College Stats)","AgneVi00",2012,2012
"61","Roberto Aguayo","K","6-0",207,"1994-05-17","in Mascotte, FL","Florida St. (College Stats)","AguaRo00",2016,2016
"62","C.J. Ah You","DE","6-4",265,"1982-07-07","in LaHabra, CA","Oklahoma (College Stats)",NA,2009,2011
"63","Salvon Ahmed","RB","5-11",197,"1998-12-29","in Kirkland, WA","Washington (College Stats)","AhmeSa01",2020,2021
"64","Danny Aiken","LS","6-4",250,"1988-08-28","in Roanoke, VA","Virginia (College Stats)","AikeDa00",2011,2015
"65","Kamar Aiken","WR","6-2",216,"1989-05-30","in Hollywood, FL","Central Florida (College Stats)","AikeKa00",2011,2018
"66","Sam Aiken","WR","6-2",220,"1980-12-14","in Kenansville, NC","North Carolina (College Stats)","AikeSa00",2003,2010
"67","Walt Aikens","CB","6-1",200,"1991-06-19","in Charlotte, NC","Liberty","AikeWa00",2014,2019
"68","Victor Aiyewa","LB","6-1",219,"1987-02-04","in Fresno, TX","Washington","AiyeVi00",2013,2013
"69","Brandon Aiyuk","WR","6-0",200,"1998-03-17","in Reno, NV","Arizona St. (College Stats)","AiyuBr00",2020,2021
"70","Jay Ajayi","RB","6-0",223,"1993-06-15","in London, England","Boise St. (College Stats)","AjayJa00",2015,2019
"71","Seyi Ajirotutu","WR","6-3",211,"1987-06-12","in El Dorado Hills, CA","Fresno St. (College Stats)","AjirSe00",2010,2015
"72","Cam Akers","RB","5-11",212,"1999-06-22","in Jackson, MS","Florida St. (College Stats)","AkerCa00",2020,2020
"73","David Akers","K","5-10",200,"1974-12-09","in Lexington, KY","Louisville","akersdav01",1998,2013
"74","Freedom Akinmoladun","DE","6-3",284,"1996-02-11","in Grandview, MO","Nebraska (College Stats)","AkinFr01",2019,2020
"75","Jordan Akins","TE","6-4",243,"1992-04-19","in Locust Grove, GA","Central Florida (College Stats)","AkinJo00",2018,2021
"76","Azeez Al-Shaair","LB","6-2",228,"1997-08-04","in Tampa, FL","Florida Atlantic (College Stats)","AlShAz00",2019,2021
"77","Otaro Alaka","LB","6-3",239,"1996-05-18","in Houston, TX","Texas A&M (College Stats)","AlakOt01",2020,2020
"78","Ikaika Alama-Francis","DE","6-5",280,"1984-12-04","in Kane'ohe, HI","Hawaii (College Stats)","AlamIk99",2007,2011
"79","Branden Albert","G","6-5",314,"1984-11-04","in Rochester, NY","Virginia (College Stats)","AlbeBr20",2008,2016
"80","Alex Albright","LB","6-5",251,"1988-01-29","in Cincinnati, OH","Boston Col. (College Stats)","AlbrAl00",2011,2012
"81","Bryson Albright","LB","6-5",245,"1994-03-15","in Cincinnati, OH","Miami (OH) (College Stats)","AlbrBr00",2016,2017
"82","Ethan Albright","G-C-T","6-5",265,"1971-05-01","in Greensboro, NC","North Carolina (College Stats)","AlbrEt20",1995,2010
"83","Adonis Alexander","CB","6-3",205,"1996-11-07","in Charlotte, NC","Virginia Tech (College Stats)","AlexAd00",2018,2018
"84","D.J. Alexander","OLB","6-2",233,"1991-09-30","in Long Beach, CA","Oregon St. (College Stats)",NA,2015,2019
"85","Danario Alexander","WR","6-5",221,"1986-08-07","in Marlin, TX","Missouri (College Stats)","AlexDa00",2010,2012
"86","Dominique Alexander","ILB","6-0",235,"1995-04-20","in Tulsa, OK","Oklahoma (College Stats)","AlexDo01",2016,2017
"87","Eric Alexander","LB","6-2",240,"1982-02-08","in Tyler, TX","LSU (College Stats)","AlexEr20",2004,2010
"88","Frank Alexander","DE","6-4",260,"1989-12-17","in Baton Rouge, LA","Oklahoma (College Stats)","AlexFr00",2012,2014
"89","Gerald Alexander","DB","6-0",210,"1984-06-28","in Los Angeles, CA","Boise St. (College Stats)","AlexGe99",2007,2011
"90","Jaire Alexander","CB","5-10",196,"1997-02-09","in Charlotte, NC","Louisville (College Stats)","AlexJa00",2018,2021
"91","Kevin Alexander","LB/DE","6-4",265,"1987-07-01","in Lake Butler, FL","Clemson (College Stats)","AlexKe02",2010,2010
"92","Kwon Alexander","OLB","6-1",227,"1994-08-03","in Oxford, AL","LSU (College Stats)","AlexKw00",2015,2021
"93","Lorenzo Alexander","DT/LB","6-1",245,"1983-05-31","in Oakland, CA","California (College Stats)","AlexLo99",2007,2019
"94","Mackensie Alexander","CB","5-10",192,"1993-11-12","in Immokalee, FL","Clemson (College Stats)","AlexMa01",2016,2021
"95","Maurice Alexander","SS","6-2",220,"1991-02-16","in St. Louis, MO","Utah St. (College Stats)","AlexMa00",2014,2019
"96","Mister Alexander","LB","6-3",227,"1988-06-02","in Aldine, TX","Florida St. (College Stats)","AlexMi01",2011,2012
"97","Vadal Alexander","OG","6-5",325,"1994-03-23","in New Orleans, LA","LSU (College Stats)","AlexVa00",2016,2017
"98","Jay Alford","DT","6-2",280,"1983-05-28","in Orange, NJ","Penn St. (College Stats)","AlfoJa99",2007,2010
"99","Mario Alford","WR","5-8",177,"1992-02-25","in Greenville, VA","West Virginia (College Stats)","AlfoMa00",2015,2016
"100","Robert Alford","CB","5-10",186,"1988-10-31","in Hammond, LA","Southeastern Louisiana","AlfoRo00",2013,2021
"101","Mo Alie-Cox","TE","6-5",267,"1993-09-19","in Alexandria, VA","Virginia Commonwealth","AlieMo00",2018,2021
"102","Nick Allegretti","G","6-4",315,"1996-04-21","in Frankfort, IL","Illinois (College Stats)","AlleNi00",2019,2021
"103","Andy Alleman","G","6-4",310,"1983-11-20","in Akron, OH","Akron","AlleAn20",2008,2009
"104","Anthony Allen","RB","6-0",223,"1988-08-06","in Tampa, FL","Louisville, Georgia Tech (College Stats)","AlleAn01",2011,2012
"105","Antonio Allen","SS","6-1",210,"1988-09-23","in Ocala, FL","South Carolina (College Stats)","AlleAn02",2012,2016
"106","Armando Allen","RB","5-10",205,"1989-04-30","in Opalocka, FL","Notre Dame (College Stats)","AlleAr00",2011,2012
"107","Asher Allen","DB","5-10",190,"1988-01-22","in Marietta, GA","Georgia (College Stats)","AlleAs99",2009,2011
"108","Beau Allen","DT","6-3",327,"1991-11-14","in St. Louis Park, MN","Wisconsin (College Stats)","AlleBe00",2014,2019
"109","Brandon Allen","QB Throws: Right","6-2",209,"1992-09-05","in Fayetteville, AR","Arkansas (College Stats)","AlleBr00",2019,2021
"110","Brian Allen","CB","6-3",215,"1993-10-21","in La Marque, TX","Utah (College Stats)","AlleBr01",2017,2020
"111","Brian Allen","C","6-2",303,"1995-10-11","in Hinsdale, IL","Michigan St. (College Stats)","AlleBr02",2018,2021
"112","Chase Allen","LB","6-3",246,"1993-08-29","in Belleville, IL","Southern Illinois","AlleCh02",2017,2018
"113","Cortez Allen","DB","6-1",196,"1988-10-29","in Ocala, FL","The Citadel","AlleCo00",2011,2015
"114","Dakota Allen","LB","6-1",232,"1995-11-02","in Dallas, TX","Texas Tech, East Mississippi CC (College Stats)","AlleDa01",2019,2021
"115","Dwayne Allen","TE","6-4",260,"1990-02-24","in Fayetteville, NC","Clemson (College Stats)","AlleDw00",2012,2018
"116","Jake Allen","WR","6-4",190,"1985-01-19","in Laurel, MS","Mississippi Col.","AlleJa24",2009,2009
"117","Jared Allen","DE","6-6",270,"1982-04-03","in Dallas, TX","Idaho St.","AlleJa22",2004,2015
"118","Jason Allen","DB","6-1",200,"1983-07-05","in Muscle Shoals, AL","Tennessee (College Stats)","AlleJa23",2006,2012
"119","Javorius Allen","RB","6-0",218,"1991-08-27","in Tallahassee, FL","USC (College Stats)","AlleJa01",2015,2019
"120","Jeff Allen","T","6-4",306,"1990-01-08","in Chicago, IL","Illinois (College Stats)","AlleJe01",2012,2019
"121","Jonathan Allen","DT","6-3",300,"1995-01-16","in Anniston, AL","Alabama (College Stats)","AlleJo01",2017,2021
"122","Josh Allen","C","6-3",315,"1991-10-30","in Dallas, TX","La-Monroe","AlleJo00",2014,2014
"123","Josh Allen","QB Throws: Right","6-5",237,"1996-05-21","in Firebaugh, CA","Wyoming (College Stats)","AlleJo02",2018,2021
"124","Josh Allen","EDGE","6-5",262,"1997-07-13","in Cumberland County, VA","Kentucky (College Stats)","AlleJo03",2019,2021
"125","Keenan Allen","WR","6-2",211,"1992-04-27","in Greensboro, NC","California (College Stats)","AlleKe00",2013,2021
"126","Kyle Allen","QB","6-3",210,"1996-03-08","in Scottsdale, AZ","Texas A&M, Houston (College Stats)","AlleKy00",2018,2020
"127","Marcus Allen","S","6-2",215,"1996-08-07","in Silver Spring, MD","Penn St. (College Stats)","AlleMa03",2018,2021
"128","Nate Allen","DB","6-1",205,"1987-11-30","in Fort Myers, FL","South Florida (College Stats)","AlleNa99",2010,2017
"129","Rashaun Allen","TE","6-4",250,"1989-05-25","in Cleveland, OH","Southern","AlleRa00",2014,2014
"130","Ricardo Allen","CB","5-9",186,"1991-12-18","in Daytona Beach, FL","Purdue (College Stats)","AlleRi00",2015,2021
"131","Roger Allen","G","6-3",329,"1986-02-10","in Raytown, MO","Missouri Western St.","AlleRo20",2009,2012
"132","Russell Allen","MLB","6-3",230,"1986-05-05","in Oceanside, CA","San Diego St. (College Stats)","AlleRu00",2009,2013
"133","Ryan Allen","P","6-2",220,"1990-02-28","in Salem, OR","Louisiana Tech (College Stats)","AlleRy01",2013,2020
"134","Will Allen","DB","5-10",195,"1978-08-05","in Syracuse, NY","Syracuse (College Stats)","AlleWi20",2001,2011
"135","Will Allen","DB","6-1",202,"1982-06-17","in Dayton, OH","Ohio St. (College Stats)","AlleWi21",2004,2015
"136","Zach Allen","DL","6-4",281,"1997-08-20","in New Canaan, CT","Boston Col. (College Stats)","AlleZa01",2019,2021
"137","Geronimo Allison","WR","6-3",202,"1994-01-18","in Tampa, FL","Illinois (College Stats)","AlliGe01",2016,2021
"138","Colin Allred","LB","6-1",242,"1983-04-15","in Dallas, TX","Baylor (College Stats)","AllrCo99",2007,2010
"139","Kiko Alonso","ILB","6-3",239,"1990-08-14","in Newton, MA","Oregon (College Stats)","AlonKi00",2013,2019
"140","Jon Alston","LB","6-0",235,"1983-06-04","in Shreveport, LA","Stanford (College Stats)","AlstJo20",2006,2009
"141","Tyson Alualu","DT","6-3",304,"1987-05-12","in Honolulu, HI","California (College Stats)","AluaTy99",2010,2021
"142","Auzoyah Alufohai","DT","6-4",320,"1996-10-16","in Houston, TX","West Georgia","AlufAu00",2020,2020
"143","Ugo Amadi","S","5-9",201,"1997-05-16","in Nashville, TN","Oregon (College Stats)","AmadUg00",2019,2021
"144","Eugene Amano","C","6-3",300,"1982-03-01","in Manila, Philippines","SE Missouri St.","AmanEu20",2004,2011
"145","Jace Amaro","TE","6-5",265,"1992-06-26","in Plano, TX","Texas Tech (College Stats)","AmarJa00",2014,2016
"146","Ken Amato","C","6-2",240,"1977-05-18","in Puerto Rico","Montana St.","AmatKe20",2003,2011
"147","Jonathon Amaya","DB","6-1",203,"1988-11-25","in Glendora, CA","Nevada (College Stats)","AmayJo00",2010,2012
"148","Danny Amendola","WR Throws: Right","5-11",185,"1985-11-02","in The Woodlands, TX","Texas Tech (College Stats)","AmenDa00",2009,2021
"149","David Amerson","CB","6-1",212,"1991-12-08","in Honolulu, HI","North Carolina St. (College Stats)","AmerDa00",2013,2018
"150","Matt Ammendola","K","5-9",195,"1996-12-11","in Philadelphia, PA","Oklahoma St. (College Stats)","AmmeMa00",2021,2021
"151","Adrian Amos","FS","6-0",214,"1993-04-29","in Baltimore, MD","Penn St. (College Stats)","AmosAd00",2015,2021
"152","Prince Amukamara","CB","6-0",206,"1989-06-06","in Glendale, AZ","Nebraska (College Stats)","AmukPr00",2011,2019
"153","Bradlee Anae","DL","6-3",257,"1998-10-17","in Laie, HI","Utah (College Stats)","AnaeBr00",2020,2021
"154","Tremayne Anchrum","OL","6-2",315,"1998-06-24","in Powder Springs, GA","Clemson (College Stats)","AnchTr00",2020,2020
"155","Abdullah Anderson","DT","6-3",297,"1996-01-24","in Atlantic City, NJ","Bucknell","AndeAb00",2019,2020
"156","Andre' Anderson","RB","5-11",205,"1988-05-01","in Fort Lauderdale, GA","Tulane (College Stats)","AndeAn23",2010,2010
"157","Brandon Anderson","DB","5-10",180,"1985-12-10","in Dublin, VA","Akron (College Stats)","AndeBr23",2009,2009
"158","C.J. Anderson","RB","5-8",225,"1991-02-10","in Vallejo, CA","Laney, California (College Stats)",NA,2013,2019
"159","Calvin Anderson","T","6-5",300,"1996-03-25","in Philadelphia, PA","Rice, Texas (College Stats)","AndeCa00",2020,2021
"160","Charlie Anderson","LB","6-4",250,"1981-12-08","in Jackson, MS","Mississippi","AndeCh21",2004,2010
"161","Colt Anderson","DB","5-10",194,"1985-10-25","in Butte, MT","Montana","AndeCo01",2010,2017
"162","David Anderson","WR","5-10",192,"1983-07-28","in Westlake Village, CA","Colorado St. (College Stats)","AndeDa01",2006,2011
"163","Deon Anderson","FB","5-10",248,"1983-01-27","in Providence, RI","Connecticut (College Stats)","AndeDe01",2007,2010
"164","Derek Anderson","QB Throws: Right","6-6",235,"1983-06-15","in Portland, OR","Oregon St. (College Stats)","AndeDe00",2006,2018
"165","Henry Anderson","DE","6-6",300,"1991-08-03","in Atlanta, GA","Stanford (College Stats)","AndeHe00",2015,2021
"166","Jamaal Anderson","DE","6-5",288,"1986-02-06","in Little Rock, AR","Arkansas (College Stats)","AndeJa98",2007,2012
"167","James Anderson","MLB","6-2",235,"1983-09-26","in Roanoke Rapids, NC","Virginia Tech (College Stats)","AndeJa21",2006,2015
"168","Joe Anderson","WR","6-1",196,"1988-11-21","in Texarkana, TX","Texas Southern","AndeJo00",2012,2013
"169","Jonathan Anderson","LB","6-1",237,"1991-10-27","in Corpus Christi, TX","TCU (College Stats)","AndeJo01",2015,2017
"170","Justin Anderson","LB","6-2",232,"1991-01-16","in Foley, AL","Louisiana","AndeJu01",2014,2014
"171","Mark Anderson","DE","6-4",255,"1983-05-26","in Tulsa, OK","Alabama (College Stats)","AndeMa21",2006,2012
"172","Robby Anderson","WR","6-3",190,"1993-05-09","in Teaneck, NJ","Temple (College Stats)","AndeRo04",2016,2021
"173","Ryan Anderson","OLB","6-2",255,"1994-08-12","in Daphne, AL","Alabama (College Stats)","AndeRy00",2017,2020
"174","Stephen Anderson","TE","6-3",230,"1993-01-30","in San Jose, CA","California (College Stats)","AndeSt01",2016,2021
"175","Vince Anderson","DB","6-2",205,"1984-12-08","in Lake City, FL","Webber International","AndeVi00",2010,2010
"176","Zaire Anderson","LB","5-11",220,"1992-08-18","in Philadelphia, PA","Nebraska (College Stats)","AndeZa01",2016,2017
"177","Zayne Anderson","DB","6-2",205,"1997-01-03","","BYU (College Stats)","AndeZa02",2021,2021
"178","Antonio Andrews","RB","5-10",225,"1992-08-17","in Enterprise, AL","Western Kentucky (College Stats)","AndrAn00",2014,2016
"179","David Andrews","C","6-3",300,"1992-07-10","in Jones Creek, GA","Georgia (College Stats)","AndrDa00",2015,2021
"180","Josh Andrews","G","6-2",298,"1991-06-21","in Los Angeles, CA","Oregon St.","AndrJo01",2015,2021
"181","Mark Andrews","TE","6-5",256,"1995-09-06","in Scottsdale, AZ","Oklahoma (College Stats)","AndrMa00",2018,2021
"182","Shawn Andrews","G-T","6-4",335,"1982-12-25","in Camden, AR","Arkansas (College Stats)","AndrSh55",2004,2010
"183","Stacy Andrews","T","6-6",318,"1981-06-02","in Camden, AR","Mississippi","AndrSt21",2004,2011
"184","Shane Andrus","K","5-10",190,"1980-10-02","in Murray, KY","Murray St., Western Kentucky","AndrSh00",2009,2010
"185","Bryan Anger","P Throws: Right","6-3",202,"1988-10-06","in Camarillo, CA","California (College Stats)","AngeBr00",2012,2021
"186","Pat Angerer","LB","6-0",232,"1987-01-31","in Bettendorf, IA","Iowa (College Stats)","AngePa99",2010,2013
"187","Eli Ankou","DT","6-3",325,"1994-06-08","in Ottawa, Ontario","UCLA (College Stats)","AnkoEl00",2017,2021
"188","Jason Ankrah","LB","6-3",262,"1991-02-28","in Gaithersburg, MD","Nebraska (College Stats)","AnkrJa00",2014,2014
"189","Blake Annen","TE","6-5",250,"1991-05-28","in Upper Arlington, OH","Cincinnati (College Stats)","AnneBl01",2014,2014
"190","Ezekiel Ansah","DE","6-5",275,"1989-05-29","in Accra, Ghana","BYU (College Stats)","AnsaEz00",2013,2020
"191","Stephone Anthony","ILB","6-3",245,"1992-07-28","in Polkton, NC","Clemson (College Stats)","AnthSt00",2015,2019
"192","Kenny Anunike","DE","6-4",260,"1990-05-22","in Galena, OH","Duke (College Stats)","AnunKe00",2015,2015
"193","Alex Anzalone","OLB","6-3",237,"1994-09-22","in Wyomissing, PA","Florida (College Stats)","AnzaAl00",2017,2021
"194","Troy Apke","S","6-1",206,"1995-04-11","in Pittsburgh, PA","Penn St. (College Stats)","ApkeTr00",2018,2021
"195","Eli Apple","CB","6-1",199,"1995-08-09","in Philadelphia, PA","Ohio St. (College Stats)","ApplEl00",2016,2021
"196","Antwan Applewhite","LB","6-3",246,"1985-12-31","in Los Angeles, CA","San Diego St. (College Stats)","ApplAn99",2008,2012
"197","JJ Arcega-Whiteside","WR","6-2",225,"1996-12-31","in Zaragoza, Spain","Stanford (College Stats)","ArceJJ00",2019,2021
"198","Emmanuel Arceneaux","WR","6-2",215,"1987-09-17","in Alexandria, VA","Alcorn St.","ArceEm00",2011,2011
"199","Dri Archer","WR","5-8",173,"1991-08-09","in Laurel, FL","Kent St. (College Stats)","ArchDr00",2014,2015
"200","Javier Arenas","DB","5-9",195,"1987-10-28","in Tampa, FL","Alabama (College Stats)","ArenJa99",2010,2014
"201","David Arkin","OL","6-5",300,"1987-10-07","in Wichita, KS","Missouri State","ArkiDa00",2012,2016
"202","Alex Armah","FB","6-2",255,"1994-05-17","in Lawrenceville, GA","West Georgia","ArmaAl00",2017,2021
"203","Thurston Armbrister","MLB","6-2",239,"1992-12-25","in Hollywood, FL","Miami (FL) (College Stats)","ArmbTh00",2015,2018
"204","Arik Armstead","DE","6-7",290,"1993-11-15","in Sacramento, CA","Oregon (College Stats)","ArmsAr01",2015,2021
"205","Ryquell Armstead","RB","5-11",220,"1996-10-30","in Bridgeton, NJ","Temple (College Stats)","ArmsRy00",2019,2019
"206","Terron Armstead","OT","6-5",304,"1991-07-23","in Belleville, IL","Ark-Pine Bluff","ArmsTe00",2013,2021
"207","Anthony Armstrong","WR","5-11",175,"1983-03-29","in Indianapolis, IN","West Texas A&M","ArmsAn00",2010,2012
"208","Cornell Armstrong","CB","6-0",185,"1995-09-22","in Inglewood, CA","Southern Miss (College Stats)","ArmsCo00",2018,2020
"209","Dorance Armstrong Jr.","DE","6-4",255,"1997-06-10","in Houston, TX","Kansas (College Stats)","ArmsDo00",2018,2021
"210","Ray-Ray Armstrong","LB","6-3",220,"1991-03-05","in Sanford, FL","Miami (FL)","ArmsRa01",2013,2020
"211","Damon Arnette","CB","6-0",195,"1996-09-02","in Dallas, TX","Ohio St. (College Stats)","ArneDa00",2020,2021
"212","Brian Arnfelt","DE","6-4",298,"1989-10-11","in Lake Elmo, MN","Northwestern (College Stats)","ArnfBr00",2013,2013
"213","Dan Arnold","WR","6-6",240,"1995-03-15","in Milwaukee, WI","Wisconsin–Platteville","ArnoDa00",2018,2021
"214","Grayland Arnold","DB","5-10",190,"1997-09-04","in Kountze, TX","Baylor (College Stats)","ArnoGr01",2020,2020
"215","Stanley Arnoux","LB","6-1",240,"1986-09-09","in Washington, DC","Wake Forest (College Stats)","ArnoSt99",2010,2010
"216","Devin Aromashodu","WR","6-2",201,"1984-05-23","in Miami Springs, FL","Auburn (College Stats)","AromDe00",2007,2012
"217","Adrian Arrington","WR","6-2",185,"1985-11-07","in Cedar Rapids, IA","Michigan (College Stats)","ArriAd00",2010,2011
"218","Kyle Arrington","DB","5-10",196,"1986-08-12","in Accokeek, MD","Hofstra","ArriKy00",2009,2015
"219","Cameron Artis-Payne","RB","5-10",215,"1990-06-23","in Harrisburg, PA","Auburn (College Stats)","ArtiCa00",2015,2018
"220","Jon Asamoah","G","6-4",304,"1988-07-21","in Park Forest, IL","Illinois","AsamJo20",2010,2014
"221","Larry Asante","DB","6-0",211,"1988-03-07","in Alexandria, VA","Nebraska (College Stats)","AsanLa99",2010,2015
"222","Richard Ash","DT","6-3",320,"1992-08-04","in Pahokee, FL","Michigan, Western Michigan (College Stats)","AshxRi00",2015,2017
