"","Player_id","Player","year","team","games_in_season","num_games_missing","num_games_injured","injury_types","earliest_injury","latest_injury"
"all_info.26","McFaBr20","McFadden,Bryant","2009","crd",18,0,8,"groin ankle knee hamstring chest",3,18
"all_info.27","MoreSe00","Morey,Sean","2009","crd",18,3,9,"ribs  illness/head concussion head",1,17
"all_info.28","OkeaCh20","Okeafor,Chike","2009","crd",18,3,5,"shoulder back",2,11
"all_info.29","PatrBe00","Patrick,Ben","2009","crd",18,3,6,"served knee head",5,17
"all_info.30","rackenei01","Rackers,Neil","2009","crd",18,2,9,"hamstring groin",8,18
"all_info.31","RodgDo99","Rodgers-Cromartie,Dominique","2009","crd",18,0,9,"finger ankle toe knee toe/knee",4,18
"all_info.32","RollAn20","Rolle,Antrel","2009","crd",18,1,7,"quadriceps foot thigh",3,18
"all_info.33","SpacSt00","Spach,Stephen","2009","crd",18,7,7,"ankle knee",5,14
"all_info.34","St.PBr20","St. Pierre,Brian","2009","crd",18,4,4,"back",1,17
"all_info.35","TogaPa99","Togafau,Pago","2009","crd",18,14,16,"foot",1,16
"all_info.36","ToleGr99","Toler,Greg","2009","crd",18,0,1,"elbow",16,16
"all_info.37","WareMa20","Ware,Matt","2009","crd",18,7,7,"shoulder knee",2,18
"all_info.38","WarnKu00","Warner,Kurt","2009","crd",18,1,4,"shoulder head",3,12
"all_info.39","WellCh00","Wells,Beanie","2009","crd",18,0,2,"hip groin",6,16
"all_info.40","WellRe20","Wells,Reggie","2009","crd",18,0,9,"thumb",2,10
"all_info.41","WilsAd99","Wilson,Adrian","2009","crd",18,0,1,"groin",10,10
"all_info.42","WrigJa01","Wright,Jason","2009","crd",18,0,3,"back thumb illness",5,13
"all_info1","AbraJo00","Abraham,John","2009","atl",16,0,3,"knee  foot",1,8
"all_info.110","AndeJa98","Anderson,Jamaal","2009","atl",16,3,3,"chest",14,16
"all_info.210","BabiJo20","Babineaux,Jonathan","2009","atl",16,0,6,"ankle shoulder",7,16
"all_info.310","BakeSa21","Baker,Sam","2009","atl",16,2,10,"ankle elbow elbow/hamstring",7,16
"all_info.43","BierKr99","Biermann,Kroy","2009","atl",16,0,2,"neck",7,9
"all_info.51","BookMa00","Booker,Marty","2009","atl",16,0,1,"abdomen",5,5
"all_info.61","bryanmat01","Bryant,Matt","2009","atl",16,0,1,"hamstring",16,16
"all_info.71","ClabTy20","Clabo,Tyson","2009","atl",16,0,1,"knee",11,11
"all_info.81","ColeEr21","Coleman,Erik","2009","atl",16,0,2,"knee",10,11
"all_info.91","DahlHa20","Dahl,Harvey","2009","atl",16,5,5,"ankle ankle/Achilles",12,16
"all_info.101","DaviCh22","Davis,Chauncey","2009","atl",16,0,1,"foot",1,1
"all_info.111","DougHa00","Douglas,Harry","2009","atl",16,16,16,"knee",1,16
"all_info.121","elamxjas01","Elam,Jason","2009","atl",16,0,4,"hamstring",2,5
"all_info.131","FinnBr00","Finneran,Brian","2009","atl",16,6,8,"ankle knee",8,16
"all_info.141","GilbTo20","Gilbert,Tony","2009","atl",16,4,7,"hamstring  knee",1,16
"all_info.151","GonzTo00","Gonzalez,Tony","2009","atl",16,0,2,"back calf",3,16
"all_info.161","HarrAn98","Harris,Antoine","2009","atl",16,6,7,"knee",4,16
"all_info.171","HousCh99","Houston,Chris","2009","atl",16,4,4,"hamstring",13,16
"all_info.181","JenkMi00","Jenkins,Michael","2009","atl",16,1,3,"ankle",12,14
"all_info.191","JerrPe99","Jerry,Peria","2009","atl",16,14,15,"chest knee",2,16
"all_info.201","JohnTh20","Johnson,Thomas","2009","atl",16,3,4,"calf knee",7,16
"all_info.211","koenemic01","Koenen,Michael","2009","atl",16,0,1,"head",16,16
"all_info.221","LoftCu99","Lofton,Curtis","2009","atl",16,0,6,"knee/ankle knee knee/groin shoulder/hamstring",8,16
"all_info.231","McClTo20","McClure,Todd","2009","atl",16,0,3,"calf  knee",1,14
"all_info.241","MoorWi99","Moore,William","2009","atl",16,14,14,"hamstring",1,16
"all_info.251","MughOv00","Mughelli,Ovie","2009","atl",16,2,4,"hamstring calf",4,7
"all_info.261","NorwJe00","Norwood,Jerious","2009","atl",16,6,8,"knee  head hip",1,11
"all_info.271","OwenCh99","Owens,Chris","2009","atl",16,0,3,"shoulder ankle",7,16
"all_info.281","PeelJu00","Peelle,Justin","2009","atl",16,1,4,"back ankle concussion head",3,14
"all_info.291","PeprCh20","Peprah,Charlie","2009","atl",16,2,2,"hamstring",15,16
"all_info.301","RyanMa00","Ryan,Matt","2009","atl",16,2,5,"toe",12,16
"all_info.311","SchnMi20","Schneck,Mike","2009","atl",16,1,3,"knee  back ribs",1,8
"all_info.321","SnelJa00","Snelling,Jason","2009","atl",16,2,3,"hamstring",7,9
"all_info.331","SvitWi20","Svitek,Will","2009","atl",16,0,2,"ankle",13,14
"all_info.341","TurnMi00","Turner,Michael","2009","atl",16,5,7,"chest ankle",6,16
"all_info.351","WeemEr00","Weems,Eric","2009","atl",16,0,2,"ankle head",8,16
"all_info.361","WhitRo00","White,Roddy","2009","atl",16,0,7,"knee",8,14
"all_info.371","WillBr22","Williams,Brian","2009","atl",16,11,12,"eye knee",5,16
"all_info.381","ZingKe20","Zinger,Keith","2009","atl",16,0,1,"back",8,8
"all_info2","AyanBr99","Ayanbadejo,Brendon","2009","rav",18,14,15,"foot  quadriceps",1,18
"all_info.112","BannJu20","Bannan,Justin","2009","rav",18,0,3,"knee illness",3,15
"all_info.212","BarnAn99","Barnes,Antwan","2009","rav",18,0,1,"shoulder",4,4
"all_info.312","BirkMa00","Birk,Matt","2009","rav",18,0,5,"neck",10,15
"all_info.410","BurgPr99","Burgess,Prescott","2009","rav",18,0,2,"illness thigh",8,12
"all_info.52","CarrCh22","Carr,Chris","2009","rav",18,0,2,"groin illness",5,9
"all_info.62","ClayMa01","Clayton,Mark","2009","rav",18,2,4,"shoulder hamstring knee",6,15
"all_info.72","CousOn00","Cousins,Oniel","2009","rav",18,0,1,"knee",16,16
"all_info.82","cundibil01","Cundiff,Billy","2009","rav",18,0,1,"concussion",13,13
"all_info.92","DiveLa20","Divens,Lamar","2009","rav",18,18,18,"hip",1,18
"all_info.102","ElleDa99","Ellerbe,Dannell","2009","rav",18,2,3,"knee  illness",1,9
"all_info.113","FlacJo00","Flacco,Joe","2009","rav",18,0,5,"ankle knee knee/hip hip",7,17
"all_info.122","GaitJa20","Gaither,Jared","2009","rav",18,5,11,"illness neck foot ankle",3,18
"all_info.132","GeraK.00","Gerard,K.J.","2009","rav",18,6,6,"thigh hamstring",12,18
"all_info.142","GoodTa99","Gooden,Tavares","2009","rav",18,4,10,"knee shoulder/head shoulder head concussion groin",2,18
"all_info.152","HaleDa22","Hale,David","2009","rav",18,1,1,"head",13,13
"all_info.162","HarpJu01","Harper,Justin","2009","rav",18,1,1,"foot",15,15
"all_info.172","HausSt00","Hauschka,Stephen","2009","rav",18,0,1,"ankle",7,7
"all_info.182","HeapTo00","Heap,Todd","2009","rav",18,0,7,"back ankle chest",4,18
"all_info.192","JohnJa23","Johnson,Jarret","2009","rav",18,0,15,"shoulder back knee/back knee back/knee",2,17
"all_info.202","JoneEd22","Jones,Edgar","2009","rav",18,0,2,"hamstring back",6,15
"all_info.213","KatuMa20","Katula,Matt","2009","rav",18,0,3,"elbow forearm",8,17
"all_info.222","LawrMa00","Lawrence,Matt","2009","rav",18,10,10,"knee",9,18
"all_info.232","LewiRa00","Lewis,Ray","2009","rav",18,0,4,"head foot",4,12
"all_info.242","MasoDe00","Mason,Derrick","2009","rav",18,0,6,"illness neck finger knee hand",4,18
"all_info.252","McClLe00","McClain,Le'Ron","2009","rav",18,0,2,"shoulder chest",8,12
"all_info.262","McKiBr20","McKinney,Brandon","2009","rav",18,6,6,"back",13,18
"all_info.272","NakaHa99","Nakamura,Haruki","2009","rav",18,9,11,"chest ankle",8,18
"all_info.282","NgatHa20","Ngata,Haloti","2009","rav",18,2,11,"knee  back ankle",1,17
"all_info.292","PascMa99","Paschal,Marcus","2009","rav",18,1,1,"back",17,17
"all_info.302","PhilJa99","Phillips,Jason","2009","rav",18,18,18,"knee",1,18
"all_info.313","PrycTr00","Pryce,Trevor","2009","rav",18,0,3,"illness head",4,17
"all_info.322","ReedEd00","Reed,Ed","2009","rav",18,4,13,"concussion neck knee illness wrist foot ankle/hip groin/foot groin",2,18
"all_info.332","RiceRa00","Rice,Ray","2009","rav",18,0,1,"chest",14,14
"all_info.342","RollSa00","Rolle,Samari","2009","rav",18,18,18,"neck",1,18
"all_info.352","SmitL.00","Smith,L.J.","2009","rav",18,4,8,"hamstring  illness ankle",1,15
"all_info.362","SmitMa01","Smith,Marcus","2009","rav",18,18,18,"knee",1,18
"all_info.372","SmitTr02","Smith,Troy","2009","rav",18,1,1,"illness",4,4
"all_info.382","SuggTe99","Suggs,Terrell","2009","rav",18,3,7,"concussion knee thigh",2,16
"all_info.391","SypnQu00","Sypniewski,Quinn","2009","rav",18,18,18,"undisclosed",1,18
"all_info.401","TalaKe00","Talavou,Kelly","2009","rav",18,1,1,"knee",15,15
"all_info.411","TerrAd20","Terry,Adam","2009","rav",18,18,18,"knee",1,18
"all_info.421","TyreDa00","Tyree,David","2009","rav",18,1,2,"hamstring",6,7
"all_info.431","WalkFr20","Walker,Frank","2009","rav",18,1,1,"illness",8,8
"all_info.44","WashFa20","Washington,Fabian","2009","rav",18,8,10,"concussion/illness thigh knee",3,18
"all_info.45","WashKe00","Washington,Kelley","2009","rav",18,1,5,"groin back illness ankle",4,15
"all_info.46","WebbLa99","Webb,Lardarius","2009","rav",18,4,5,"illness knee",9,18
"all_info.47","WillCa99","Williams,Cary","2009","rav",18,0,3,"thigh",12,18
"all_info.48","WillDe03","Williams,Demetrius","2009","rav",18,0,2,"illness",5,12
"all_info.49","YandMa20","Yanda,Marshal","2009","rav",18,0,1,"knee",17,17
"all_info.50","ZbikTo99","Zbikowski,Tom","2009","rav",18,1,4,"concussion illness neck",2,17
"all_info3","BellDe20","Bell,Demetress","2009","buf",16,8,9,"groin knee",4,16
"all_info.114","BuggMa20","Buggs,Marcus","2009","buf",16,11,11,"knee",6,16
"all_info.214","ButlBr20","Butler,Brad","2009","buf",16,14,14,"knee",3,16
"all_info.314","ByrdJa99","Byrd,Jairus","2009","buf",16,2,9,"hip groin undisclosed",5,16
"all_info.412","ChamKi20","Chambers,Kirk","2009","buf",16,0,1,"ankle",13,13
"all_info.53","DennRy20","Denney,Ryan","2009","buf",16,0,1,"shoulder",13,13
"all_info.63","DrafCh20","Draft,Chris","2009","buf",16,0,2,"neck",12,13
"all_info.73","EdwaTr01","Edwards,Trent","2009","buf",16,4,5,"concussion ankle",7,16
"all_info.83","ElliCh99","Ellis,Chris","2009","buf",16,2,2,"personal",4,5
"all_info.93","ElliKe20","Ellison,Keith","2009","buf",16,8,9,"knee thigh",6,16
"all_info.103","FineDe00","Fine,Derek","2009","buf",16,8,9,"hamstring  knee",1,16
"all_info.115","FitzRy00","Fitzpatrick,Ryan","2009","buf",16,1,2,"ankle",15,16
"all_info.123","FlorDr20","Florence,Drayton","2009","buf",16,2,4,"knee  illness",1,15
"all_info.133","HangGe20","Hangartner,Geoff","2009","buf",16,0,1,"back",3,3
"all_info.143","HardJa00","Hardy,James","2009","buf",16,11,12,"knee groin  illness",1,15
"all_info.153","HarrNi99","Harris,Nic","2009","buf",16,1,3,"personal knee",11,16
"all_info.163","JenkJu00","Jenkins,Justin","2009","buf",16,1,3,"illness knee",10,14
"all_info.173","JohnSp20","Johnson,Spencer","2009","buf",16,0,1,"thigh",1,1
"all_info.183","JohnSt00","Johnson,Steve","2009","buf",16,1,1,"ankle",16,16
"all_info.193","JohnTo20","Johnson,Todd","2009","buf",16,2,3,"hamstring",13,16
"all_info.203","KelsCh21","Kelsay,Chris","2009","buf",16,0,5,"knee eye back shoulder",2,12
"all_info.215","KlopJo00","Klopfenstein,Joe","2009","buf",16,2,2,"ankle",13,14
"all_info.223","LankEl99","Lankster,Ellis","2009","buf",16,1,1,"back",5,5
"all_info.233","LeviAn20","Levitre,Andy","2009","buf",16,0,1,"shoulder",13,13
"all_info.243","LyncMa00","Lynch,Marshawn","2009","buf",16,0,2,"served shoulder",4,11
"all_info.253","McCaJo22","McCargo,John","2009","buf",16,5,6,"calf",3,13
"all_info.263","McGeTe99","McGee,Terrence","2009","buf",16,5,12,"back ankle knee chest shoulder",2,16
"all_info.273","McInCo00","McIntyre,Corey","2009","buf",16,1,2,"knee",8,9
"all_info.283","McKeLe99","McKelvin,Leodis","2009","buf",16,13,14,"fibula",3,16
"all_info.293","McKiSe20","McKinney,Seth","2009","buf",16,6,6,"knee",11,16
"all_info.303","MereJa20","Meredith,Jamon","2009","buf",16,2,2,"knee ankle",9,14
"all_info.315","MitcKa20","Mitchell,Kawika","2009","buf",16,11,11,"knee",6,16
"all_info.323","NelsSh00","Nelson,Shawn","2009","buf",16,4,7,"shoulder illness",3,16
"all_info.333","OmonXa00","Omon,Xavier","2009","buf",16,1,1,"illness",7,7
"all_info.343","OwenTe00","Owens,Terrell","2009","buf",16,0,2,"hip illness",9,14
"all_info.353","PalmAs99","Palmer,Ashlee","2009","buf",16,1,2,"ankle",15,16
"all_info.363","ParrRo00","Parrish,Roscoe","2009","buf",16,2,4,"quadriceps thigh knee illness",3,10
"all_info.373","PoluPa99","Posluszny,Paul","2009","buf",16,4,5,"arm",2,6
"all_info.383","RamsAn20","Ramsey,Andre","2009","buf",16,1,1,"calf",16,16
"all_info.392","ReedJo01","Reed,Josh","2009","buf",16,2,4,"ankle fibula",3,16
"all_info.402","SchoAa99","Schobel,Aaron","2009","buf",16,0,2,"back groin",2,9
"all_info.413","SchoDe00","Schouman,Derek","2009","buf",16,14,14,"knee",3,16
"all_info.422","ScotBr20","Scott,Bryan","2009","buf",16,7,8,"ankle head",4,16
"all_info.432","ScotJo22","Scott,Jonathan","2009","buf",16,5,6,"ankle eye",6,16
"all_info.441","SimmKe20","Simmons,Kendall","2009","buf",16,2,2,"shoulder",14,15
"all_info.451","StroMa01","Stroud,Marcus","2009","buf",16,1,4,"knee back",10,16
"all_info.461","StupJo00","Stupar,Jonathan","2009","buf",16,0,1,"knee",16,16
"all_info.471","WhitDo20","Whitner,Donte","2009","buf",16,6,7,"thumb ankle illness",4,16
"all_info.481","WillKy20","Williams,Kyle","2009","buf",16,2,4,"groin knee",4,10
"all_info.491","WoodEr20","Wood,Eric","2009","buf",16,6,6,"tibia/fibula",11,16
"all_info.501","YoubAs20","Youboty,Ashton","2009","buf",16,4,4,"ankle",10,13
"all_info4","AndeJa21","Anderson,James","2009","car",16,0,1,"concussion",5,5
"all_info.116","BeasJo99","Beason,Jon","2009","car",16,0,1,"knee",5,5
"all_info.216","BernMa20","Bernadeau,Mackenzy","2009","car",16,0,1,"knee",12,12
"all_info.316","BrayTy20","Brayton,Tyler","2009","car",16,1,2,"concussion",13,14
"all_info.414","BrowEv99","Brown,Everette","2009","car",16,1,3,"ankle",2,4
"all_info.54","ConnDa99","Connor,Dan","2009","car",16,0,1,"shoulder",3,3
"all_info.64","DaviC.20","Davis,C.J.","2009","car",16,16,16,"ankle",1,16
"all_info.74","DaviTh20","Davis,Thomas","2009","car",16,9,10,"hamstring knee",6,16
"all_info.84","DelhJa00","Delhomme,Jake","2009","car",16,5,6,"chest finger",8,16
"all_info.94","DiggNa20","Diggs,Na'il","2009","car",16,2,7,"rib ribs",3,14
"all_info.104","FiamTo00","Fiammetta,Tony","2009","car",16,1,3,"ankle concussion",4,9
"all_info.117","GodfCh99","Godfrey,Charles","2009","car",16,4,5,"ankle",7,11
"all_info.124","GoodMi00","Goodson,Mike","2009","car",16,1,2,"illness concussion",3,4
"all_info.134","GrosJo20","Gross,Jordan","2009","car",16,7,8,"knee ankle",3,16
"all_info.144","HarrCh20","Harris,Chris","2009","car",16,3,4,"knee",1,4
"all_info.154","HaydNi99","Hayden,Nick","2009","car",16,2,3,"toe",2,5
"all_info.164","HoovBr00","Hoover,Brad","2009","car",16,5,8,"back ankle",3,12
"all_info.174","IrviCo99","Irvin,Corvey","2009","car",16,16,16,"knee",1,16
"all_info.184","JarrDw00","Jarrett,Dwayne","2009","car",16,1,2,"ankle",12,13
"all_info.194","JohnCh98","Johnson,Charles","2009","car",16,3,6,"knee illness pectoral",2,13
"all_info.204","JohnLa20","Johnson,Landon","2009","car",16,6,8,"shoulder knee",7,16
"all_info.217","kasayjoh01","Kasay,John","2009","car",16,0,2,"groin",8,9
"all_info.224","KemoMa20","Kemoeatu,Ma'ake","2009","car",16,16,16,"Achilles",1,16
"all_info.234","LeonLo99","Leonard,Louis","2009","car",16,14,14,"ankle",3,16
"all_info.244","LewiDa20","Lewis,Damione","2009","car",16,0,2,"shoulder",10,11
"all_info.254","LloyRh44","Lloyd,Rhys","2009","car",16,0,2,"ankle",6,7
"all_info.264","MarsRi20","Marshall,Richard","2009","car",16,0,3,"ankle",14,16
"all_info.274","MartSh99","Martin,Sherrod","2009","car",16,0,3,"knee",1,3
"all_info.284","McCoJo01","McCown,Josh","2009","car",16,15,15,"foot",2,16
"all_info.294","MoorMa01","Moore,Matt","2009","car",16,0,2,"shoulder rib",15,16
"all_info.304","MuhaMu00","Muhammad,Muhsin","2009","car",16,2,9,"leg ankle knee",2,16
"all_info.317","MunnCa99","Munnerlyn,Captain","2009","car",16,1,4,"illness shoulder concussion",3,13
"all_info.324","OtahJe20","Otah,Jeff","2009","car",16,3,5,"shoulder knee",2,16
"all_info.334","PeppJu99","Peppers,Julius","2009","car",16,0,2,"hand",9,11
"all_info.344","RosaDa00","Rosario,Dante","2009","car",16,2,4,"ankle knee",5,9
"all_info.354","SallNa20","Salley,Nate","2009","car",16,2,2,"knee",1,2
"all_info.364","SchwGe20","Schwartz,Geoff","2009","car",16,0,1,"groin",16,16
"all_info.374","SmitSt01","Smith,Steve","2009","car",16,1,6,"ankle knee back ribs rib arm",3,16
"all_info.384","StewJo00","Stewart,Jonathan","2009","car",16,0,15,"heel Achilles toe",2,16
"all_info.393","SuttTy00","Sutton,Tyrell","2009","car",16,2,3,"thigh calf",14,16
"all_info.403","TyleTa99","Tyler,Tank","2009","car",16,5,5,"knee",12,16
"all_info.415","WeslDa20","Wesley,Dante","2009","car",16,0,1,"served",7,7
"all_info.423","WillDe02","Williams,DeAngelo","2009","car",16,3,7,"knee ankle",9,16
"all_info5","AdamAn20","Adams,Anthony","2009","chi",16,0,2,"knee toe",4,5
"all_info.118","AdamGa99","Adams,Gaines","2009","chi",16,0,1,"ankle",15,15
"all_info.218","AfalAl99","Afalava,Al","2009","chi",16,3,6,"shoulder knee",2,16
"all_info.318","AndeMa21","Anderson,Mark","2009","chi",16,0,1,"toe",2,2
"all_info.416","AromDe00","Aromashodu,Devin","2009","chi",16,1,1,"quadriceps",1,1
"all_info.55","BowmZa20","Bowman,Zackary","2009","chi",16,0,3,"knee undisclosed illness",7,14
"all_info.65","BrigLa99","Briggs,Lance","2009","chi",16,1,8,"foot shoulder knee back",4,16
"all_info.75","BrowAl20","Brown,Alex","2009","chi",16,0,4,"ankle leg calf",3,12
"all_info.85","BullJo20","Bullocks,Josh","2009","chi",16,0,1,"ankle",6,6
"all_info.95","ClarDe00","Clark,Desmond","2009","chi",16,5,8,"rib neck illness",2,15
"all_info.105","DaviKe01","Davis,Kellen","2009","chi",16,0,1,"ankle",11,11
"all_info.119","DvorDu99","Dvoracek,Dusty","2009","chi",16,2,2,"knee",1,2
"all_info.125","FortMa00","Forte,Matt","2009","chi",16,0,1,"knee",4,4
"all_info.135","GarzRo20","Garza,Roberto","2009","chi",16,0,1,"ankle",11,11
"all_info.145","GrahCo99","Graham,Corey","2009","chi",16,0,1,"ankle",6,6
"all_info.155","HarrTo99","Harris,Tommie","2009","chi",16,1,15,"knee",2,16
"all_info.165","HestDe99","Hester,Devin","2009","chi",16,3,5,"ankle calf",8,16
"all_info.175","HillHu20","Hillenmeyer,Hunter","2009","chi",16,2,4,"rib groin",4,13
"all_info.185","IdonIs20","Idonije,Israel","2009","chi",16,1,9,"hamstring  knee foot",1,16
"all_info.195","JoneKe02","Jones,Kevin","2009","chi",16,16,16,"ankle",1,16
"all_info.205","KnoxJo00","Knox,Johnny","2009","chi",16,1,1,"ankle",16,16
"all_info.219","KreuOl00","Kreutz,Olin","2009","chi",16,0,1,"back",10,10
"all_info.225","MannPa20","Mannelly,Patrick","2009","chi",16,0,1,"forearm",4,4
"all_info.235","MannDa21","Manning,Danieal","2009","chi",16,1,4,"back foot calf",2,16
"all_info.245","MaynBr20","Maynard,Brad","2009","chi",16,0,1,"groin",15,15
"all_info.255","McBrTr99","McBride,Trumaine","2009","chi",16,1,1,"knee",2,2
"all_info.265","MeltHe99","Melton,Henry","2009","chi",16,16,16,"ankle",1,16
"all_info.275","OgunAd00","Ogunleye,Adewale","2009","chi",16,2,4,"ankle fibula",7,16
"all_info.285","OlseGr00","Olsen,Greg","2009","chi",16,0,1,"ankle",8,8
"all_info.295","OmiyFr20","Omiyale,Frank","2009","chi",16,0,3,"ankle",2,4
"all_info.305","PaceOr00","Pace,Orlando","2009","chi",16,4,5,"groin",11,15
"all_info.319","PaynKe99","Payne,Kevin","2009","chi",16,3,6,"toe back ankle",6,16
"all_info.325","PeteAd00","Peterson,Adrian","2009","chi",16,2,4,"knee illness",5,15
"all_info.335","StelCr99","Steltz,Craig","2009","chi",16,0,2,"biceps foot",8,16
"all_info.345","TillCh20","Tillman,Charles","2009","chi",16,1,6,"back  shoulder head concussion ribs/lung",1,16
"all_info.355","TinoPi20","Tinoisamoa,Pisa","2009","chi",16,14,14,"knee",2,16
"all_info.365","ToeaMa99","Toeaina,Matt","2009","chi",16,3,3,"calf",7,9
"all_info.375","UrlaBr00","Urlacher,Brian","2009","chi",16,15,15,"wrist",2,16
"all_info.385","WillCh03","Williams,Chris","2009","chi",16,0,1,"ankle",15,15
"all_info.394","WillJa21","Williams,Jamar","2009","chi",16,0,1,"ankle",14,14
"all_info.404","WolfGa00","Wolfe,Garrett","2009","chi",16,8,8,"back back/kidney kidney",9,16
"all_info6","BensCe00","Benson,Cedric","2009","cin",17,2,6,"ankle knee hip",3,12
"all_info.120","CaldAn00","Caldwell,Andre","2009","cin",17,0,2,"illness",9,16
"all_info.220","ChatAn00","Chatman,Antonio","2009","cin",17,9,9,"leg",1,9
"all_info.320","CoatDa00","Coats,Daniel","2009","cin",17,0,1,"shoulder",7,7
"all_info.417","CoffCh00","Coffman,Chase","2009","cin",17,5,5,"ankle",13,17
"all_info.56","ColeLa00","Coles,Laveranues","2009","cin",17,0,3,"head chest",10,12
"all_info.66","CrocCh20","Crocker,Chris","2009","cin",17,3,5,"calf ankle",10,17
"all_info.76","FaneJo20","Fanene,Jonathan","2009","cin",17,0,3,"illness shoulder",3,16
"all_info.86","FoscJo00","Foschi,J.P.","2009","cin",17,1,2,"neck",16,17
"all_info.96","GeatRo21","Geathers,Robert","2009","cin",17,1,6,"hip knee",9,17
"all_info.106","HarrOr20","Harris,Orien","2009","cin",17,0,1,"illness",12,12
"all_info.1110","HebeKy99","Hebert,Kyries","2009","cin",17,1,5,"hip knee",5,14
"all_info.126","HenrCh00","Henry,Chris","2009","cin",17,5,8,"thigh  quadriceps illness forearm",1,13
"all_info.136","HodgAb20","Hodge,Abdul","2009","cin",17,0,1,"knee",4,4
"all_info.146","JeanRa20","Jeanty,Rashad","2009","cin",17,1,2,"finger",5,6
"all_info.156","JohnCh01","Johnson,Chad","2009","cin",17,0,3,"hip knee",7,17
"all_info.166","JohnJe00","Johnson,Jeremi","2009","cin",17,0,3,"knee chest",8,10
"all_info.176","JohnLa00","Johnson,Larry","2009","cin",17,1,1,"knee",17,17
"all_info.186","JohnMi98","Johnson,Michael","2009","cin",17,0,1,"illness",3,3
"all_info.196","JohnTa20","Johnson,Tank","2009","cin",17,2,12,"foot illness knee",4,17
"all_info.206","JoneDa99","Jones,David","2009","cin",17,4,5,"foot",1,5
"all_info.2110","JoseJo20","Joseph,Johnathan","2009","cin",17,0,4,"ankle foot",3,11
"all_info.226","KellRe00","Kelly,Reggie","2009","cin",17,17,17,"Achilles",1,17
"all_info.236","KooiSc20","Kooistra,Scott","2009","cin",17,1,2,"knee",1,2
"all_info.246","LeonBr00","Leonard,Brian","2009","cin",17,2,4,"chest groin calf",2,14
"all_info.256","LiviNa20","Livings,Nate","2009","cin",17,2,2,"knee",2,3
"all_info.266","LuigJo20","Luigs,Jonathan","2009","cin",17,2,3,"illness back",9,13
"all_info.276","MathEv20","Mathis,Evan","2009","cin",17,3,3,"ankle",9,11
"all_info.286","MauaRe99","Maualuga,Rey","2009","cin",17,2,6,"knee foot ankle",4,17
"all_info.296","NdukCh99","Ndukwe,Nedu","2009","cin",17,0,3,"hamstring",4,6
"all_info.306","NelsTo00","Nelson,Tom","2009","cin",17,1,3,"shoulder foot knee",8,17
"all_info.3110","OdomAn20","Odom,Antwan","2009","cin",17,11,11,"Achilles",7,17
"all_info.326","PalmCa00","Palmer,Carson","2009","cin",17,0,2,"ankle  thumb",1,6
"all_info.336","PalmJo20","Palmer,Jordan","2009","cin",17,1,1,"illness",2,2
"all_info.346","PekoDo20","Peko,Domata","2009","cin",17,5,10,"neck chest knee",4,17
"all_info.356","RiveKe99","Rivers,Keith","2009","cin",17,3,4,"calf",9,12
