"name","full_team","team","year","games_in_season","num_games_injured","num_games_missing","injury_types","earliest_injury","latest_injury","head","shoulder","upper_torso","lower_torso","arm","hand","leg","foot","short_team_name","injury","total_injuries","position_id","NFL_draft_year","NFL_draft_round","NFL_draft_rank","height_inches","weight_pounds","birthdate","forty_yd","three_cone","bench","broad_jump","combine_height","combine_weight","shuttle","vertical","game_starter","age","bmi"
"Gerald Hayes","Arizona Cardinals","crd",2009,16,5,2,"back",8,14,0,0,1,0,0,0,0,0,"ARI","1",1,"DEF",2003,3,70,73,250,"1980-10-10",4.75,7.57,0,107,73,238,4.35,30.5,1,29,32.9799211859636
"Ali Highsmith","Arizona Cardinals","crd",2009,16,2,0,"hamstring thigh",3,5,0,0,0,0,0,0,2,0,"ARI","1",2,"DEF",NA,NA,NA,72,229,"1985-01-20",4.95,7.4,0,112,72,230,4.29,26.5,0,24,31.0545910493827
"Tim Hightower","Arizona Cardinals","crd",2009,16,3,0,"thumb",12,14,0,0,0,0,0,1,0,0,"ARI","1",1,"RB",2008,5,149,72,226,"1986-05-23",NA,NA,NA,NA,NA,NA,NA,NA,1,23,30.647762345679
"Kenny Iwebema","Arizona Cardinals","crd",2009,16,14,5,"ankle knee thumb shoulder head",2,16,1,1,0,0,0,1,1,1,"ARI","1",5,"DEF",2008,4,116,76,268,"1985-02-06",4.91,7.62,26,109,76,274,4.75,29,0,24,32.6184210526316
"Rashad Johnson","Arizona Cardinals","crd",2009,16,2,0,"ankle",3,4,0,0,0,0,0,0,0,1,"ARI","1",1,"DEF",2009,3,95,72,195,"1986-01-02",4.49,7.09,15,120,71,203,4.23,37,1,23,26.4438657407407
"Dan Kreider","Arizona Cardinals","crd",2009,16,2,1,"thigh neck",13,16,1,0,0,0,0,0,1,0,"ARI","1",2,"RB",NA,NA,NA,71,250,"1977-03-11",NA,NA,NA,NA,NA,NA,NA,NA,0,32,34.864114263043
"Bryant McFadden","Arizona Cardinals","crd",2009,16,7,0,"groin ankle knee hamstring",3,15,0,0,0,0,0,0,3,1,"ARI","1",4,"DEF",2005,2,62,72,190,"1981-11-21",4.44,0,23,130,72,193,4.04,38.5,1,28,25.7658179012346
"Sean Morey","Arizona Cardinals","crd",2009,16,8,3,"ribs  illness head concussion head",1,16,3,0,1,0,0,0,0,0,"ARI","1",4,"WR",1999,7,241,71,193,"1976-02-26",NA,NA,NA,NA,NA,NA,NA,NA,0,33,26.9150962110692
"Chike Okeafor","Arizona Cardinals","crd",2009,16,5,3,"shoulder back",2,11,0,1,1,0,0,0,0,0,"ARI","1",2,"DEF",1999,3,89,76,256,"1976-03-27",NA,NA,NA,NA,NA,NA,NA,NA,1,33,31.1578947368421
"Ben Patrick","Arizona Cardinals","crd",2009,16,5,3,"served knee head",5,16,1,0,0,0,0,0,1,0,"ARI","1",2,"TE",2007,7,215,75,252,"1984-08-23",4.74,7.21,0,111,75,252,4.31,34.5,1,25,31.4944
"Neil Rackers","Arizona Cardinals","crd",2009,16,7,2,"hamstring groin",8,16,0,0,0,0,0,0,2,0,"ARI","1",2,"K",2000,6,169,73,202,"1976-08-16",NA,NA,NA,NA,NA,NA,NA,NA,0,33,26.6477763182586
"Dominique Rodgers-Cromartie","Arizona Cardinals","crd",2009,16,7,0,"finger ankle toe",4,15,0,0,0,0,0,1,0,2,"ARI","1",3,"DEF",2008,1,16,74,205,"1986-04-07",4.29,6.74,17,131,73,184,4.17,38.5,1,23,26.3175675675676
"Antrel Rolle","Arizona Cardinals","crd",2009,16,5,1,"quadriceps foot thigh",3,16,0,0,0,0,0,0,2,1,"ARI","1",3,"DEF",2005,1,8,72,206,"1982-12-16",4.48,0,15,0,72,201,0,0,1,26,27.9355709876543
"Stephen Spach","Arizona Cardinals","crd",2009,16,7,7,"ankle knee",5,14,0,0,0,0,0,0,1,1,"ARI","1",2,"TE",NA,NA,NA,76,260,"1982-07-18",NA,NA,NA,NA,NA,NA,NA,NA,1,27,31.6447368421053
"Brian St. Pierre","Arizona Cardinals","crd",2009,16,3,3,"back",1,3,0,0,1,0,0,0,0,0,"ARI","1",1,"QB",2003,5,163,75,224,"1979-11-28",NA,NA,NA,NA,NA,NA,NA,NA,0,30,27.9950222222222
"Pago Togafau","Arizona Cardinals","crd",2009,16,16,14,"foot",1,16,0,0,0,0,0,0,0,1,"ARI","1",1,"DEF",NA,NA,NA,70,210,"1984-01-10",NA,NA,NA,NA,NA,NA,NA,NA,0,25,30.1285714285714
"Greg Toler","Arizona Cardinals","crd",2009,16,1,0,"elbow",16,16,0,0,0,0,1,0,0,0,"ARI","1",1,"DEF",2009,4,131,71,191,"1985-01-02",NA,NA,NA,NA,NA,NA,NA,NA,0,24,26.6361832969649
"Matt Ware","Arizona Cardinals","crd",2009,16,5,5,"shoulder knee",2,16,0,1,0,0,0,0,1,0,"ARI","1",2,"DEF",2004,3,89,74,210,"1982-12-02",4.54,0,15,0,74,209,0,0,0,27,26.9594594594595
"Kurt Warner","Arizona Cardinals","crd",2009,16,4,1,"shoulder head",3,12,1,1,0,0,0,0,0,0,"ARI","1",2,"QB",NA,NA,NA,74,214,"1971-06-22",NA,NA,NA,NA,NA,NA,NA,NA,1,38,27.472972972973
"Beanie Wells","Arizona Cardinals","crd",2009,16,2,0,"hip groin",6,16,0,0,0,1,0,0,1,0,"ARI","1",2,"RB",2009,1,31,73,235,"1988-08-07",4.38,0,25,128,73,235,0,33.5,0,21,31.0011259148058
"Reggie Wells","Arizona Cardinals","crd",2009,16,9,0,"thumb",2,10,0,0,0,0,0,1,0,0,"ARI","1",1,"OL",2003,6,177,76,318,"1980-11-03",5.16,8.35,23,104,75,300,4.56,29,1,29,38.7039473684211
"Adrian Wilson","Arizona Cardinals","crd",2009,16,1,0,"groin",10,10,0,0,0,0,0,0,1,0,"ARI","1",1,"DEF",2001,3,64,75,230,"1979-10-12",NA,NA,NA,NA,NA,NA,NA,NA,1,30,28.7448888888889
"Jason Wright","Arizona Cardinals","crd",2009,16,3,0,"back thumb illness",5,13,0,0,1,0,0,1,0,0,"ARI","1",2,"RB",NA,NA,NA,70,212,"1982-07-12",4.68,7.35,0,111,70,210,4.12,30,0,27,30.4155102040816
"John Abraham","Atlanta Falcons","atl",2009,16,3,0,"knee  foot",1,8,0,0,0,0,0,0,1,1,"ATL","1",2,"DEF",2000,1,13,76,263,"1978-05-06",4.55,0,0,0,76,252,0,0,1,31,32.0098684210526
"Jamaal Anderson","Atlanta Falcons","atl",2009,16,3,3,"chest",14,16,0,0,1,0,0,0,0,0,"ATL","1",1,"DEF",2007,1,8,77,288,"1986-02-06",4.75,0,0,0,77,288,0,0,1,23,34.1480856805532
"Jonathan Babineaux","Atlanta Falcons","atl",2009,16,6,0,"ankle shoulder",7,16,0,1,0,0,0,0,0,1,"ATL","1",2,"DEF",2005,2,59,74,300,"1981-10-12",4.87,7.7,21,109,74,286,4.57,29.5,1,28,38.5135135135135
"Sam Baker","Atlanta Falcons","atl",2009,16,10,2,"ankle elbow elbow hamstring",7,16,0,0,0,0,2,0,1,1,"ATL","1",4,"OL",2008,1,21,77,308,"1985-05-30",5.5,0,28,0,77,309,0,0,1,24,36.5194805194805
"Kroy Biermann","Atlanta Falcons","atl",2009,16,2,0,"neck",7,9,1,0,0,0,0,0,0,0,"ATL","1",1,"DEF",2008,5,154,75,242,"1985-09-12",4.85,7.08,29,112,75,246,4.56,31.5,0,24,30.2446222222222
"Marty Booker","Atlanta Falcons","atl",2009,16,1,0,"abdomen",5,5,0,0,1,0,0,0,0,0,"ATL","1",1,"WR",1999,3,78,72,205,"1976-07-31",NA,NA,NA,NA,NA,NA,NA,NA,0,33,27.7999614197531
"Matt Bryant","Atlanta Falcons","atl",2009,16,1,0,"hamstring",16,16,0,0,0,0,0,0,1,0,"ATL","1",1,"K",NA,NA,NA,69,203,"1975-05-29",NA,NA,NA,NA,NA,NA,NA,NA,0,34,29.9745851711825
"Tyson Clabo","Atlanta Falcons","atl",2009,16,1,0,"knee",11,11,0,0,0,0,0,0,1,0,"ATL","1",1,"OL",NA,NA,NA,78,315,"1981-10-17",5.51,8.09,24,100,79,315,4.88,30,1,28,36.3979289940828
"Erik Coleman","Atlanta Falcons","atl",2009,16,2,0,"knee",10,11,0,0,0,0,0,0,1,0,"ATL","1",1,"DEF",2004,5,143,70,207,"1982-05-06",4.64,7.03,16,117,70,200,4.14,35.5,1,27,29.6981632653061
"Harvey Dahl","Atlanta Falcons","atl",2009,16,5,5,"ankle ankle achilles",12,16,0,0,0,0,0,0,0,3,"ATL","1",3,"OL",NA,NA,NA,77,308,"1981-06-24",5.42,8.15,17,99,78,299,4.58,27,1,28,36.5194805194805
"Chauncey Davis","Atlanta Falcons","atl",2009,16,1,0,"foot",1,1,0,0,0,0,0,0,0,1,"ATL","1",1,"DEF",2005,4,128,74,262,"1983-01-27",4.8,7.66,22,118,74,273,4.44,37,1,26,33.6351351351351
"Jason Elam","Atlanta Falcons","atl",2009,16,4,0,"hamstring",2,5,0,0,0,0,0,0,1,0,"ATL","1",1,"K",1993,3,70,71,194,"1970-03-08",NA,NA,NA,NA,NA,NA,NA,NA,0,39,27.0545526681214
"Brian Finneran","Atlanta Falcons","atl",2009,16,8,6,"ankle knee",8,16,0,0,0,0,0,0,1,1,"ATL","1",2,"WR",NA,NA,NA,77,210,"1976-01-31",NA,NA,NA,NA,NA,NA,NA,NA,0,33,24.8996458087367
"Tony Gilbert","Atlanta Falcons","atl",2009,16,7,4,"hamstring  knee",1,16,0,0,0,0,0,0,2,0,"ATL","1",2,"DEF",2003,6,210,72,245,"1979-10-16",4.86,0,19,109,72,251,0,27.5,0,30,33.2243441358025
"Tony Gonzalez","Atlanta Falcons","atl",2009,16,2,0,"back calf",3,16,0,0,1,0,0,0,1,0,"ATL","1",2,"TE",1997,1,13,77,247,"1976-02-27",NA,NA,NA,NA,NA,NA,NA,NA,1,33,29.2867262607522
"Antoine Harris","Atlanta Falcons","atl",2009,16,7,6,"knee",4,16,0,0,0,0,0,0,1,0,"ATL","1",1,"DEF",NA,NA,NA,70,205,"1982-04-08",4.93,0,11,0,75,260,0,0,0,27,29.4112244897959
"Chris Houston","Atlanta Falcons","atl",2009,16,4,4,"hamstring",13,16,0,0,0,0,0,0,1,0,"ATL","1",1,"DEF",2007,2,41,70,185,"1984-10-18",4.32,6.94,27,122,70,185,4.12,36,1,25,26.5418367346939
"Michael Jenkins","Atlanta Falcons","atl",2009,16,3,1,"ankle",12,14,0,0,0,0,0,0,0,1,"ATL","1",1,"WR",2004,1,29,76,214,"1982-06-18",4.4,0,0,0,76,218,0,0,1,27,26.0460526315789
"Peria Jerry","Atlanta Falcons","atl",2009,16,15,14,"chest knee",2,16,0,0,1,0,0,0,1,0,"ATL","1",2,"DEF",2009,1,24,73,290,"1984-08-23",4.98,0,0,0,74,299,0,0,1,25,38.2567085757178
"Thomas Johnson","Atlanta Falcons","atl",2009,16,4,3,"calf knee",7,16,0,0,0,0,0,0,2,0,"ATL","1",2,"DEF",NA,NA,NA,74,304,"1981-06-24",NA,NA,NA,NA,NA,NA,NA,NA,1,28,39.027027027027
"Michael Koenen","Atlanta Falcons","atl",2009,16,1,0,"head",16,16,1,0,0,0,0,0,0,0,"ATL","1",1,"P",NA,NA,NA,71,198,"1982-07-13",NA,NA,NA,NA,NA,NA,NA,NA,0,27,27.6123784963301
"Curtis Lofton","Atlanta Falcons","atl",2009,16,6,0,"knee ankle knee knee groin shoulder hamstring",8,16,0,1,0,0,0,0,5,1,"ATL","1",7,"DEF",2008,2,37,74,238,"1986-06-02",4.79,7.69,23,105,72,246,4.56,24.5,1,23,30.5540540540541
"Todd McClure","Atlanta Falcons","atl",2009,16,3,0,"calf  knee",1,14,0,0,0,0,0,0,2,0,"ATL","1",2,"OL",1999,7,237,73,296,"1977-02-16",NA,NA,NA,NA,NA,NA,NA,NA,1,32,39.0482266841809
"William Moore","Atlanta Falcons","atl",2009,16,14,14,"hamstring",1,16,0,0,0,0,0,0,1,0,"ATL","1",1,"DEF",2009,2,55,72,223,"1985-05-18",4.49,6.81,16,123,72,221,4.26,37,0,24,30.2409336419753
"Ovie Mughelli","Atlanta Falcons","atl",2009,16,4,2,"hamstring calf",4,7,0,0,0,0,0,0,2,0,"ATL","1",2,"RB",2003,4,134,73,250,"1980-06-10",4.73,7.78,0,114,73,255,4.32,31.5,0,29,32.9799211859636
"Jerious Norwood","Atlanta Falcons","atl",2009,16,8,6,"knee  head hip",1,11,1,0,0,1,0,0,1,0,"ATL","1",3,"RB",2006,3,79,71,209,"1983-07-29",4.4,6.81,15,122,72,210,4.25,36.5,1,26,29.146399523904
"Chris Owens","Atlanta Falcons","atl",2009,16,3,0,"shoulder ankle",7,16,0,1,0,0,0,0,0,1,"ATL","1",2,"DEF",2009,3,90,70,182,"1986-12-01",4.44,6.93,14,110,70,181,4.16,34.5,1,23,26.1114285714286
"Justin Peelle","Atlanta Falcons","atl",2009,16,4,1,"back ankle concussion head",3,14,2,0,1,0,0,0,0,1,"ATL","1",4,"TE",2002,4,103,76,251,"1979-03-15",4.75,7.34,21,110,76,255,4.29,29,1,30,30.5493421052632
"Charlie Peprah","Atlanta Falcons","atl",2009,16,2,2,"hamstring",15,16,0,0,0,0,0,0,1,0,"ATL","1",1,"DEF",2006,5,158,71,203,"1983-02-24",4.66,6.81,15,119,71,206,4.09,37.5,0,26,28.309660781591
"Matt Ryan","Atlanta Falcons","atl",2009,16,5,2,"toe",12,16,0,0,0,0,0,0,0,1,"ATL","1",1,"QB",2008,1,3,76,217,"1985-05-17",4.89,7.4,NA,NA,77,228,4.51,NA,1,24,26.4111842105263
"Mike Schneck","Atlanta Falcons","atl",2009,16,3,1,"knee  back ribs",1,8,0,0,2,0,0,0,1,0,"ATL","1",3,"OL",NA,NA,NA,73,234,"1977-08-04",NA,NA,NA,NA,NA,NA,NA,NA,0,32,30.8692062300619
"Jason Snelling","Atlanta Falcons","atl",2009,16,3,2,"hamstring",7,9,0,0,0,0,0,0,1,0,"ATL","1",1,"RB",2007,7,244,71,235,"1983-12-29",4.79,7.06,0,111,71,230,4.37,30,0,25,32.7722674072605
"Will Svitek","Atlanta Falcons","atl",2009,16,2,0,"ankle",13,14,0,0,0,0,0,0,0,1,"ATL","1",1,"OL",2005,6,187,78,305,"1982-01-08",NA,NA,NA,NA,NA,NA,NA,NA,0,27,35.2424391847469
"Michael Turner","Atlanta Falcons","atl",2009,16,7,5,"chest ankle",6,16,0,0,1,0,0,0,0,1,"ATL","1",2,"RB",2004,5,154,70,244,"1982-02-13",4.49,7.5,22,114,70,237,4.15,31,1,27,35.0065306122449
"Eric Weems","Atlanta Falcons","atl",2009,16,2,0,"ankle head",8,16,1,0,0,0,0,0,0,1,"ATL","1",2,"WR",NA,NA,NA,69,195,"1985-07-04",NA,NA,NA,NA,NA,NA,NA,NA,0,24,28.7933207309389
"Roddy White","Atlanta Falcons","atl",2009,16,7,0,"knee",8,14,0,0,0,0,0,0,1,0,"ATL","1",1,"WR",2005,1,27,72,211,"1981-11-02",4.46,0,0,0,73,207,0,0,1,28,28.6136188271605
"Brian Williams","Atlanta Falcons","atl",2009,16,12,11,"eye knee",5,16,1,0,0,0,0,0,1,0,"ATL","1",2,"DEF",2002,4,105,71,202,"1979-07-02",NA,NA,NA,NA,NA,NA,NA,NA,1,30,28.1702043245388
"Keith Zinger","Atlanta Falcons","atl",2009,16,1,0,"back",8,8,0,0,1,0,0,0,0,0,"ATL","1",1,"TE",2008,7,232,76,250,"1984-10-09",NA,NA,NA,NA,NA,NA,NA,NA,0,25,30.4276315789474
"Brendon Ayanbadejo","Baltimore Ravens","rav",2009,16,13,12,"foot  quadriceps",1,16,0,0,0,0,0,0,1,1,"BAL","1",2,"DEF",NA,NA,NA,73,225,"1976-09-06",NA,NA,NA,NA,NA,NA,NA,NA,1,33,29.6819290673672
"Justin Bannan","Baltimore Ravens","rav",2009,16,3,0,"knee illness",3,15,0,0,0,0,0,0,1,0,"BAL","1",1,"DEF",2002,5,139,75,312,"1979-04-18",5,7.31,24,99,75,300,4.24,29,0,30,38.9930666666667
"Antwan Barnes","Baltimore Ravens","rav",2009,16,1,0,"shoulder",4,4,0,1,0,0,0,0,0,0,"BAL","1",1,"DEF",2007,4,134,73,240,"1984-10-19",4.43,7.29,31,122,73,240,4.32,35,0,25,31.660724338525
"Matt Birk","Baltimore Ravens","rav",2009,16,5,0,"neck",10,15,1,0,0,0,0,0,0,0,"BAL","1",1,"OL",1998,6,173,76,310,"1976-07-23",NA,NA,NA,NA,NA,NA,NA,NA,1,33,37.7302631578947
"Prescott Burgess","Baltimore Ravens","rav",2009,16,2,0,"illness thigh",8,12,0,0,0,0,0,0,1,0,"BAL","1",1,"DEF",2007,6,207,75,246,"1984-03-06",4.82,7.01,19,106,75,240,4.31,32.5,0,25,30.7445333333333
"Chris Carr","Baltimore Ravens","rav",2009,16,2,0,"groin illness",5,9,0,0,0,0,0,0,1,0,"BAL","1",1,"DEF",NA,NA,NA,70,182,"1983-04-30",NA,NA,NA,NA,NA,NA,NA,NA,1,26,26.1114285714286
"Mark Clayton","Baltimore Ravens","rav",2009,16,4,2,"shoulder hamstring knee",6,15,0,1,0,0,0,0,2,0,"BAL","1",3,"WR",2005,1,22,70,190,"1982-07-02",4.41,6.95,0,118,70,193,4.07,36.5,0,27,27.2591836734694
"Oniel Cousins","Baltimore Ravens","rav",2009,16,1,0,"knee",16,16,0,0,0,0,0,0,1,0,"BAL","1",1,"OL",2008,3,99,76,315,"1984-06-29",5.11,7.9,23,107,76,308,4.8,24.5,0,25,38.3388157894737
"Billy Cundiff","Baltimore Ravens","rav",2009,16,1,0,"concussion",13,13,1,0,0,0,0,0,0,0,"BAL","1",1,"K",NA,NA,NA,73,212,"1980-03-30",NA,NA,NA,NA,NA,NA,NA,NA,0,29,27.9669731656971
"Dannell Ellerbe","Baltimore Ravens","rav",2009,16,3,2,"knee  illness",1,9,0,0,0,0,0,0,1,0,"BAL","1",1,"DEF",NA,NA,NA,73,236,"1985-11-29",4.63,7,0,118,73,236,4.23,35,1,24,31.1330455995496
"Joe Flacco","Baltimore Ravens","rav",2009,16,4,0,"ankle knee knee hip",7,13,0,0,0,1,0,0,2,1,"BAL","1",4,"QB",2008,1,18,78,245,"1985-01-16",4.84,6.82,NA,110,78,236,4.27,28.5,1,24,28.3095003287311
"Jared Gaither","Baltimore Ravens","rav",2009,16,10,5,"illness neck foot",3,16,1,0,0,0,0,0,0,1,"BAL","1",2,"OL",2007,5,1,81,350,"1986-03-18",NA,NA,NA,NA,NA,NA,NA,NA,1,23,37.5019051973784
"K.J. Gerard","Baltimore Ravens","rav",2009,16,4,4,"thigh hamstring",12,16,0,0,0,0,0,0,2,0,"BAL","1",2,"DEF",NA,NA,NA,73,187,"1986-04-22",NA,NA,NA,NA,NA,NA,NA,NA,0,23,24.6689810471008
"Tavares Gooden","Baltimore Ravens","rav",2009,16,8,4,"knee shoulder head shoulder head concussion groin",2,16,3,2,0,0,0,0,2,0,"BAL","1",7,"DEF",2008,3,71,73,233,"1984-10-07",4.62,0,22,118,73,234,0,35,0,25,30.7372865453181
"David Hale","Baltimore Ravens","rav",2009,16,1,1,"head",13,13,1,0,0,0,0,0,0,0,"BAL","1",1,"OL",2008,4,133,78,300,"1983-03-03",5.27,7.69,25,100,78,314,4.75,26,0,26,34.6646942800789
"Justin Harper","Baltimore Ravens","rav",2009,16,1,1,"foot",15,15,0,0,0,0,0,0,0,1,"BAL","1",1,"WR",2008,7,215,75,205,"1985-02-24",4.56,7.03,0,120,75,213,4.43,28.5,0,24,25.6204444444444
"Stephen Hauschka","Baltimore Ravens","rav",2009,16,1,0,"ankle",7,7,0,0,0,0,0,0,0,1,"BAL","1",1,"K",NA,NA,NA,76,210,"1985-06-29",NA,NA,NA,NA,NA,NA,NA,NA,0,24,25.5592105263158
"Todd Heap","Baltimore Ravens","rav",2009,16,6,0,"back ankle chest",4,15,0,0,2,0,0,0,0,1,"BAL","1",3,"TE",2001,1,31,77,252,"1980-03-16",4.68,0,0,0,77,252,0,0,1,29,29.8795749704841
"Jarret Johnson","Baltimore Ravens","rav",2009,16,14,0,"shoulder back knee back knee back knee",2,16,0,1,3,0,0,0,3,0,"BAL","1",7,"DEF",2003,4,109,75,260,"1981-08-14",5.07,7.72,21,107,75,284,4.58,28.5,1,28,32.4942222222222
"Edgar Jones","Baltimore Ravens","rav",2009,16,2,0,"hamstring back",6,15,0,0,1,0,0,0,1,0,"BAL","1",2,"DEF",NA,NA,NA,75,263,"1984-12-01",NA,NA,NA,NA,NA,NA,NA,NA,0,25,32.8691555555556
"Matt Katula","Baltimore Ravens","rav",2009,16,2,0,"elbow forearm",8,15,1,0,0,0,2,0,0,0,"BAL","1",3,"OL",NA,NA,NA,78,265,"1982-08-22",NA,NA,NA,NA,NA,NA,NA,NA,0,27,30.620479947403
"Matt Lawrence","Baltimore Ravens","rav",2009,16,8,8,"knee",9,16,0,0,0,0,0,0,1,0,"BAL","1",1,"RB",NA,NA,NA,73,210,"1985-05-05",NA,NA,NA,NA,NA,NA,NA,NA,0,24,27.7031337962094
"Derrick Mason","Baltimore Ravens","rav",2009,16,4,0,"illness neck finger knee",4,16,1,0,0,0,0,1,1,0,"BAL","1",3,"WR",1997,4,98,70,197,"1974-01-17",NA,NA,NA,NA,NA,NA,NA,NA,1,35,28.2634693877551
"Le'Ron McClain","Baltimore Ravens","rav",2009,16,2,0,"shoulder chest",8,12,0,1,1,0,0,0,0,0,"BAL","1",2,"RB",2007,4,137,72,260,"1984-12-27",4.75,7.14,14,113,72,256,4.47,29.5,1,24,35.258487654321
"Brandon McKinney","Baltimore Ravens","rav",2009,16,4,4,"back",13,16,0,0,1,0,0,0,0,0,"BAL","1",1,"DEF",NA,NA,NA,74,345,"1983-08-24",NA,NA,NA,NA,NA,NA,NA,NA,0,26,44.2905405405405
"Haruki Nakamura","Baltimore Ravens","rav",2009,16,9,7,"chest ankle",8,16,0,0,1,0,0,0,0,1,"BAL","1",2,"DEF",2008,6,206,70,190,"1986-04-18",NA,NA,NA,NA,NA,NA,NA,NA,0,23,27.2591836734694
"Haloti Ngata","Baltimore Ravens","rav",2009,16,10,2,"knee  back ankle",1,15,0,0,1,0,0,0,1,1,"BAL","1",3,"DEF",2006,1,12,76,340,"1984-01-21",5.13,7.95,37,110,76,338,4.65,31.5,1,25,41.3815789473684
"Ed Reed","Baltimore Ravens","rav",2009,16,11,4,"concussion neck knee illness wrist foot ankle hip groin foot groin",2,16,2,0,0,1,0,1,3,3,"BAL","1",10,"DEF",2002,1,24,71,205,"1978-09-11",4.57,0,0,0,71,201,0,0,1,31,28.5885736956953
"Ray Rice","Baltimore Ravens","rav",2009,16,1,0,"chest",14,14,0,0,1,0,0,0,0,0,"BAL","1",1,"RB",2008,2,55,69,195,"1987-01-22",4.42,6.65,23,119,68,199,4.2,31.5,1,22,28.7933207309389
"L.J. Smith","Baltimore Ravens","rav",2009,16,8,4,"hamstring  illness ankle",1,15,0,0,0,0,0,0,1,1,"BAL","1",2,"TE",2003,2,61,75,258,"1980-05-13",4.62,6.74,26,122,75,258,4.25,37,0,29,32.2442666666667
"Terrell Suggs","Baltimore Ravens","rav",2009,16,7,3,"concussion knee thigh",2,16,1,0,0,0,0,0,2,0,"BAL","1",3,"DEF",2003,1,10,75,265,"1982-10-11",4.84,NA,NA,NA,75,262,NA,NA,1,27,33.1191111111111
"Kelly Talavou","Baltimore Ravens","rav",2009,16,1,1,"knee",15,15,0,0,0,0,0,0,1,0,"BAL","1",1,"DEF",NA,NA,NA,74,334,"1984-10-04",NA,NA,NA,NA,NA,NA,NA,NA,0,25,42.8783783783784
"David Tyree","Baltimore Ravens","rav",2009,16,2,1,"hamstring",6,7,0,0,0,0,0,0,1,0,"BAL","1",1,"WR",2003,6,211,72,206,"1980-01-03",NA,NA,NA,NA,NA,NA,NA,NA,0,29,27.9355709876543
"Fabian Washington","Baltimore Ravens","rav",2009,16,8,6,"concussion illness thigh knee",3,16,1,0,0,0,0,0,2,0,"BAL","1",3,"DEF",2005,1,23,71,175,"1983-06-09",4.29,0,18,129,70,188,3.91,41.5,1,26,24.4048799841301
"Kelley Washington","Baltimore Ravens","rav",2009,16,5,1,"groin back illness ankle",4,15,0,0,1,0,0,0,1,1,"BAL","1",3,"WR",2003,3,65,75,217,"1979-08-21",4.42,0,0,0,74,223,0,0,0,30,27.1201777777778
